altitude_m,ax,ay,az,bax_true,bay_true,baz_true,beacon_id,beacon_x,beacon_y,beacon_z,bias_true_m,gx,gy,gz,is_dropout,is_outlier,kind,latency_s,measurement_time_s,range_m,sensor,time_s,valid,vx,vy,vz,x,y,z
,-0.023834183092132095,-0.02121696037478074,0.003700321911904003,0.035,-0.025,0.02,,,,,,-0.00036522154660975127,-5.563524191263151e-05,-0.0003055322308705276,0.0,0.0,inertial,,0.0,,imu,0.0,1.0,,,,,,
,,,,,,,,,,,,,,,0.0,0.0,position_velocity,0.0,0.0,,gps,0.0,1.0,11.905012466471666,0.7116575475409173,0.4344016932830671,14.361676530188802,-10.38309045587049,85.40841973676999
85.5055304846668,,,,,,,,,,,0.0,,,,0.0,0.0,altitude,,0.0,,barometer,0.0,1.0,,,,,,
,,,,,,,0.0,0.0,0.0,85.0,,,,,0.0,0.0,range,,0.0,20.7018518868425,range_beacon,0.0,1.0,,,,,,
,,,,,,,1.0,180.0,-60.0,90.0,,,,,0.0,0.0,range,,0.0,174.3229314299265,range_beacon,0.0,1.0,,,,,,
,,,,,,,2.0,80.0,160.0,80.0,,,,,0.0,0.0,range,,0.0,181.2194415550542,range_beacon,0.0,1.0,,,,,,
,0.12370812685804469,-0.03288140507932916,0.11836021927557303,0.03469177879177308,-0.025041432967400353,0.01982661607999556,,,,,,0.0005687951359674406,0.002104244304410172,0.0006128979412364415,0.0,0.0,inertial,,0.0666666667,,imu,0.0666666667,1.0,,,,,,
,-0.007816329400010737,0.019977007898351353,-0.019644443654507654,0.034521118784280734,-0.024940562111625424,0.020034985931309836,,,,,,9.102548734839253e-05,-0.0037119269844030885,0.004222950035014682,0.0,0.0,inertial,,0.1333333333,,imu,0.1333333333,1.0,,,,,,
,-0.03425942222276579,0.06410723683587928,-0.10310375020310522,0.03461566985687562,-0.024762175952397415,0.02005528159269244,,,,,,0.00137256745785331,0.0013179962792662597,0.0020505555717456087,0.0,0.0,inertial,,0.2,,imu,0.2,1.0,,,,,,
,-0.07370418162600176,0.0438782307609641,0.11893047385467372,0.03474465433018205,-0.024321309255213395,0.020151057943154218,,,,,,0.001498569881044271,-0.0005263392461641054,0.0018847740043163087,0.0,0.0,inertial,,0.2666666667,,imu,0.2666666667,1.0,,,,,,
,0.07658850344615044,-0.03513810836031438,0.042554081174563066,0.03474743982965259,-0.02444713466752022,0.020179827313551148,,,,,,0.0010850292534850816,-0.0006270192681817517,-0.00030900106873444234,0.0,0.0,inertial,,0.3333333333,,imu,0.3333333333,1.0,,,,,,
83.28372574524566,,,,,,,,,,,0.00541635231053709,,,,0.0,0.0,altitude,,0.3333333333,,barometer,0.3333333333,1.0,,,,,,
,-0.11756316745488785,0.04759012148124135,-0.02149807068914109,0.03466525748003224,-0.02427995975392076,0.019852411134572062,,,,,,0.00143239462122847,0.002972421052294711,0.006192109008549219,0.0,0.0,inertial,,0.4,,imu,0.4,1.0,,,,,,
,-0.017864115135831637,0.04303910445203829,-0.03215237878497813,0.03436229461260753,-0.024566587215638022,0.01999697508538265,,,,,,0.0010528891150378764,0.0018147815164389995,0.007722107523979417,0.0,0.0,inertial,,0.4666666667,,imu,0.4666666667,1.0,,,,,,
,0.010159735100249999,0.048542366448720245,0.0018595995076061446,0.03430074962227625,-0.024734068722730037,0.019475993191481137,,,,,,0.001614744660878559,-0.0016790600377312992,0.0019488705134734245,0.0,0.0,inertial,,0.5333333333,,imu,0.5333333333,1.0,,,,,,
,0.08010779532311471,-0.01586788889788241,-0.06397041808972195,0.03434542288525668,-0.0245628731890467,0.019369745130497502,,,,,,-0.001466577450808357,-0.004345704744294881,0.0008643526366062708,0.0,0.0,inertial,,0.6,,imu,0.6,1.0,,,,,,
,0.12931256104368682,-0.027485928658754655,-0.019738318832141423,0.034368319638651126,-0.024748882864038483,0.01970662306283189,,,,,,0.0005205564329503064,-0.0001861119802681713,0.0030429907909740274,0.0,0.0,inertial,,0.6666666667,,imu,0.6666666667,1.0,,,,,,
84.4537015800413,,,,,,,,,,,0.004991002068989129,,,,0.0,0.0,altitude,,0.6666666667,,barometer,0.6666666667,1.0,,,,,,
,-0.07462717125039774,-0.024933322210011585,0.05405655196797121,0.0345922309191247,-0.024981808542871548,0.019669615768569175,,,,,,0.003179859314341594,0.001350995339807852,0.0051447400836708715,0.0,0.0,inertial,,0.7333333333,,imu,0.7333333333,1.0,,,,,,
,0.07947085526567355,0.0632892559018022,0.05435711698586094,0.03486044179630847,-0.02493984675825655,0.01967531482310564,,,,,,-0.001688157163261288,0.0023884299949791855,0.0056437478886761285,0.0,0.0,inertial,,0.8,,imu,0.8,1.0,,,,,,
,0.03870607968394332,0.09332757429565638,-0.0011597940138710523,0.03538623031956037,-0.02508057588363709,0.019593030972279657,,,,,,-0.0024228505071800213,0.0014019662095039295,0.009800011842672603,0.0,0.0,inertial,,0.8666666667,,imu,0.8666666667,1.0,,,,,,
,0.07172429620818939,0.16433242642991702,-0.05463320196530369,0.035295606361339,-0.025044156059933365,0.019420288475105175,,,,,,0.0008662871285215616,0.0030933544470123898,0.005514415244658866,0.0,0.0,inertial,,0.9333333333,,imu,0.9333333333,1.0,,,,,,
,0.19845795405372374,0.054929967484618626,-0.0013821016485482084,0.03538921059005281,-0.025263832853784713,0.01977224190135046,,,,,,0.0008246575798488985,-0.0015406755951412289,0.007904803706646764,0.0,0.0,inertial,,1.0,,imu,1.0,1.0,,,,,,
,,,,,,,,,,,,,,,0.0,0.0,position_velocity,0.0,1.0,,gps,1.0,1.0,12.091655186422706,1.3024692164898335,1.033959564141368,27.857353332283434,-9.048342576985597,88.87752706843898
