accepted,effective_sample_size,gate,innovation_std,measurement_time_s,nis,residual_0,residual_1,residual_2,residual_norm,sensor_is_dropout,sensor_is_outlier,source,stale_s,time_s
1.0,799.9999999999995,55.0,4.179277474885846,0.0,10.57449529184868,-6.898171601612319,3.444932571962058,-1.5848606321467145,7.871728850385045,0.0,0.0,gps_particle,0.0,0.0
1.0,787.0281703514545,55.0,0.7649713798220593,0.0,0.47104197976201156,0.525018967843053,,,0.525018967843053,0.0,0.0,barometer_particle,0.0,0.0
1.0,799.9999999999995,55.0,1.4751229292159216,0.0,7.1315885776972685,3.9393208443676,,,3.9393208443676,0.0,0.0,range_particle,0.0,0.0
1.0,799.9999999999995,55.0,1.165733443146159,0.0,4.498516015184315,2.4724862859088717,,,2.4724862859088717,0.0,0.0,range_particle,0.0,0.0
1.0,799.9999999999995,55.0,1.3414648449236242,0.0,6.3359485245541665,-3.376642760794965,,,3.376642760794965,0.0,0.0,range_particle,0.0,0.0
1.0,799.9999999999995,55.0,0.8382088830390275,0.3333333333,8.532683726641018,-2.4484716688546797,,,2.4484716688546797,0.0,0.0,barometer_particle,0.0,0.3333333333
1.0,716.779712373238,55.0,0.800528364084483,0.6666666667,0.6628113852508667,-0.6517359900802546,,,0.6517359900802546,0.0,0.0,barometer_particle,0.0,0.6666666667
1.0,799.9999999999995,55.0,4.248072242010413,1.0,4.290770750774136,3.457839128720746,0.4171692268759877,3.7199834295901724,5.095974717400982,0.0,0.0,gps_particle,0.0,1.0
1.0,786.8442025919921,55.0,0.8008978971148023,1.0,0.10037372602304803,-0.25373897222219455,,,0.25373897222219455,0.0,0.0,barometer_particle,0.0,1.0
1.0,615.2880710961197,55.0,1.0889231876234464,1.0,0.9881657260383377,1.0824607033541866,,,1.0824607033541866,0.0,0.0,range_particle,0.0,1.0
1.0,799.9999999999995,55.0,1.0752938802416232,1.0,6.0668300407711815,-2.6485494654640434,,,2.6485494654640434,0.0,0.0,range_particle,0.0,1.0
1.0,599.2454358240386,55.0,1.0785563491672743,1.0,1.8606448078870583,-1.471209692552378,,,1.471209692552378,0.0,0.0,range_particle,0.0,1.0
1.0,518.2330630368122,55.0,0.7935814761043471,1.3333333333,0.9961404453088925,-0.7920485600266289,,,0.7920485600266289,0.0,0.0,barometer_particle,0.0,1.3333333333
1.0,466.4327476030234,55.0,0.7964697815123786,1.6666666667,0.1743781033919054,-0.3325946645104665,,,0.3325946645104665,0.0,0.0,barometer_particle,0.0,1.6666666667
1.0,799.9999999999995,55.0,4.19783409781988,2.0,4.539323973178493,-0.8946467997125396,-1.2662168299281849,-4.909056770578957,5.148061415076199,0.0,0.0,gps_particle,0.0,2.0
1.0,773.802552970933,55.0,0.7914142193902397,2.0,0.11923696380444157,-0.27328091518383246,,,0.27328091518383246,0.0,0.0,barometer_particle,0.0,2.0
1.0,799.9999999999995,55.0,1.0811434554545878,2.0,5.401523561627109,2.5127047522806834,,,2.5127047522806834,0.0,0.0,range_particle,0.0,2.0
1.0,678.4088871569642,55.0,1.0731143954403723,2.0,0.802208531982417,-0.9611466556603432,,,0.9611466556603432,0.0,0.0,range_particle,0.0,2.0
1.0,673.9174266950919,55.0,1.0716657613226381,2.0,0.24137531622628614,-0.5265089808839889,,,0.5265089808839889,0.0,0.0,range_particle,0.0,2.0
1.0,607.996761588311,55.0,0.7968263245139956,2.3333333333,1.3633092704541114,-0.9303810739142477,,,0.9303810739142477,0.0,0.0,barometer_particle,0.0,2.3333333333
1.0,503.3953809392634,55.0,0.7834437254403325,2.6666666667,0.839403541040994,-0.7177830609416276,,,0.7177830609416276,0.0,0.0,barometer_particle,0.0,2.6666666667
1.0,799.9999999999995,55.0,4.231951875140251,3.0,8.141058140257044,5.967983515185914,-2.21453056694852,-3.001594421446484,7.037793826217048,0.0,0.0,gps_particle,0.0,3.0
1.0,779.1401336000033,55.0,0.7890395075379624,3.0,0.19910959136887008,-0.35208282449964656,,,0.35208282449964656,0.0,0.0,barometer_particle,0.0,3.0
1.0,799.9999999999995,55.0,1.071493294010876,3.0,15.286983720388324,4.189385824601402,,,4.189385824601402,0.0,0.0,range_particle,0.0,3.0
1.0,521.3621282308844,55.0,1.0623050276925061,3.0,3.531468267146039,-1.9963049838026734,,,1.9963049838026734,0.0,0.0,range_particle,0.0,3.0
1.0,468.3526186182002,55.0,1.0605114731589889,3.0,0.5286953143849396,0.7711131370251962,,,0.7711131370251962,0.0,0.0,range_particle,0.0,3.0
1.0,464.68274468326206,55.0,0.8107051910188967,3.3333333333,1.1792457059706802,-0.8803697379843953,,,0.8803697379843953,0.0,0.0,barometer_particle,0.0,3.3333333333
1.0,799.9999999999995,55.0,0.8112194580168111,3.6666666667,14.356244448219424,-3.073680921613615,,,3.073680921613615,0.0,0.0,barometer_particle,0.0,3.6666666667
1.0,799.9999999999995,55.0,4.221233804115928,4.0,3.0241724590259023,3.9324906755327333,0.40477552299725295,-1.5417606992058381,4.24327140197104,0.0,0.0,gps_particle,0.0,4.0
1.0,799.9999999999995,55.0,0.8172151729439654,4.0,5.2152414081760785,-1.8662663673765962,,,1.8662663673765962,0.0,0.0,barometer_particle,0.0,4.0
1.0,799.9999999999995,55.0,1.1000559959394864,4.0,6.4000537364035255,2.782957683933361,,,2.782957683933361,0.0,0.0,range_particle,0.0,4.0
1.0,799.9999999999995,55.0,1.1161182311676439,4.0,5.542559919437953,-2.6276371936657483,,,2.6276371936657483,0.0,0.0,range_particle,0.0,4.0
1.0,799.9999999999995,55.0,1.0796323707432296,4.0,11.394651026700997,3.644403139367995,,,3.644403139367995,0.0,0.0,range_particle,0.0,4.0
