accepted,gate,huber_max_inflation,innovation_std,measurement_time_s,nis,residual_0,residual_1,residual_2,residual_norm,sensor_is_dropout,sensor_is_outlier,source,stale_s,time_s
1.0,55.0,1.740032997326293,9.657309401288124,0.0,1.1621983338326072,-7.516942548449585,-0.037975036563111964,-1.5915802632300142,7.683683694322472,0.0,0.0,gps_range_bearing_altitude,0.0,0.0
1.0,55.0,1.0,2.3470248220270253,0.0,0.0029651708684407837,-0.1278034404300854,,,0.1278034404300854,0.0,0.0,barometer_altitude,0.0,0.0
1.0,55.0,1.0,3.5526666289718416,0.0,0.01652348031422653,0.4566728788699912,,,0.4566728788699912,0.0,0.0,range_beacon,0.0,0.0
1.0,55.0,2.283190494268028,2.5698816506526097,0.0,2.557425896782714,4.109742889682451,,,4.109742889682451,0.0,0.0,range_beacon,0.0,0.0
1.0,55.0,1.7401275137360825,2.7167851849790368,0.0,1.3292190514137612,-3.1322295247249485,,,3.1322295247249485,0.0,0.0,range_beacon,0.0,0.0
1.0,55.0,1.7016363488468755,1.8621486429051375,0.3333333333,1.5218517753926266,-2.297209070943282,,,2.297209070943282,0.0,0.0,barometer_altitude,0.0,0.3333333333
1.0,55.0,1.0,1.8718784573882425,0.6666666667,0.23448299542893752,0.9064280214840181,,,0.9064280214840181,0.0,0.0,barometer_altitude,0.0,0.6666666667
1.0,55.0,1.1595983170789783,5.256669282583045,1.0,2.9726535480800926,-1.6178545368746633,0.017258616724205478,5.009464729781186,5.264265194807235,0.0,0.0,gps_range_bearing_altitude,0.0,1.0
1.0,55.0,1.0,1.255500177398058,1.0,0.24290286612150072,0.6187754833022723,,,0.6187754833022723,0.0,0.0,barometer_altitude,0.0,1.0
1.0,55.0,1.3836808419564268,2.429110222941195,1.0,1.0512897315443284,-2.490625515521568,,,2.490625515521568,0.0,0.0,range_beacon,0.0,1.0
1.0,55.0,1.0,1.5140836606683208,1.0,0.533873075865719,-1.1062897341454914,,,1.1062897341454914,0.0,0.0,range_beacon,0.0,1.0
1.0,55.0,1.0,2.249182968271112,1.0,0.0004272093896681457,-0.04648846226814385,,,0.04648846226814385,0.0,0.0,range_beacon,0.0,1.0
1.0,55.0,1.0,1.1490259700910517,1.3333333333,0.002552055916452555,0.058046352852784366,,,0.058046352852784366,0.0,0.0,barometer_altitude,0.0,1.3333333333
1.0,55.0,1.0,1.082715229118991,1.6666666667,0.5204773717598173,0.7811153491678908,,,0.7811153491678908,0.0,0.0,barometer_altitude,0.0,1.6666666667
1.0,55.0,1.0,3.9068869708444263,2.0,3.0232079084952184,-1.2625442462584715,-0.053275660502543065,-3.9249243108389607,4.123334465645134,0.0,0.0,gps_range_bearing_altitude,0.0,2.0
1.0,55.0,1.0,1.0194762568140392,2.0,0.17430321462667006,0.4256276312264333,,,0.4256276312264333,0.0,0.0,barometer_altitude,0.0,2.0
1.0,55.0,1.0,1.7458406186297322,2.0,0.6149311438669022,1.3690453610734323,,,1.3690453610734323,0.0,0.0,range_beacon,0.0,2.0
1.0,55.0,1.0,1.3028924765455632,2.0,0.22373807280842925,0.616280636938825,,,0.616280636938825,0.0,0.0,range_beacon,0.0,2.0
1.0,55.0,1.0,1.855857171054131,2.0,0.0007758559573620675,-0.051693400147826196,,,0.051693400147826196,0.0,0.0,range_beacon,0.0,2.0
1.0,55.0,1.0,1.004672504173121,2.3333333333,0.004589179733934709,-0.06806001652348925,,,0.06806001652348925,0.0,0.0,barometer_altitude,0.0,2.3333333333
1.0,55.0,1.0,0.9961288596817107,2.6666666667,0.09025229193600948,0.2992572235719422,,,0.2992572235719422,0.0,0.0,barometer_altitude,0.0,2.6666666667
1.0,55.0,1.2746378315950524,4.148327002723443,3.0,3.4551750007132056,5.506435432490626,-0.016748171524797684,-1.9155669266135789,5.830137933511818,0.0,0.0,gps_range_bearing_altitude,0.0,3.0
1.0,55.0,1.0,0.9778610087403478,3.0,0.7240701515832951,0.8320845378594015,,,0.8320845378594015,0.0,0.0,barometer_altitude,0.0,3.0
1.0,55.0,1.6185372944433298,2.006149829236288,3.0,2.108937463055968,2.9133671299979937,,,2.9133671299979937,0.0,0.0,range_beacon,0.0,3.0
1.0,55.0,1.0,1.38607852285909,3.0,0.1863496841184384,-0.5983456867178631,,,0.5983456867178631,0.0,0.0,range_beacon,0.0,3.0
1.0,55.0,1.0,1.644309921385252,3.0,0.10047326601947054,0.5212054366357961,,,0.5212054366357961,0.0,0.0,range_beacon,0.0,3.0
1.0,55.0,1.0,0.9832881473943829,3.3333333333,0.06438635040128513,0.24950411261787053,,,0.24950411261787053,0.0,0.0,barometer_altitude,0.0,3.3333333333
1.0,55.0,1.507576198268181,1.2997779987813098,3.6666666667,2.451815117115986,-2.0352278676620443,,,2.0352278676620443,0.0,0.0,barometer_altitude,0.0,3.6666666667
1.0,55.0,1.0,3.732126875021275,4.0,1.162940475453558,1.8608079526997443,0.037808683351317374,-0.14156069458840648,1.8665677495391713,0.0,0.0,gps_range_bearing_altitude,0.0,4.0
1.0,55.0,1.0,1.0253555552224163,4.0,0.14841085543274007,-0.39500930200846085,,,0.39500930200846085,0.0,0.0,barometer_altitude,0.0,4.0
1.0,55.0,1.0,1.5529391207887564,4.0,0.023983371544279066,0.24049693635073766,,,0.24049693635073766,0.0,0.0,range_beacon,0.0,4.0
