accepted,adaptive_measurement_scale,gate,innovation_std,measurement_time_s,nis,residual_0,residual_1,residual_2,residual_norm,sensor_is_dropout,sensor_is_outlier,source,stale_s,time_s
1.0,1.0,55.0,9.03238547899337,0.0,1.4709561550061272,-7.516942548449585,-0.037975036563111964,-1.5915802632300142,7.683683694322472,0.0,0.0,gps_range_bearing_altitude,0.0,0.0
1.0,1.0,55.0,2.3470248220270253,0.0,0.0029651708684407837,-0.1278034404300854,,,0.1278034404300854,0.0,0.0,barometer_altitude,0.0,0.0
1.0,1.0,55.0,2.437755077754096,0.0,0.6026917046209179,1.8925077937615313,,,1.8925077937615313,0.0,0.0,range_beacon,0.0,0.0
1.0,1.0,55.0,1.5185368895829066,0.0,6.325709889120862,3.819266660582599,,,3.819266660582599,0.0,0.0,range_beacon,0.0,0.0
1.0,1.08,55.0,2.1887196881693383,0.0,4.400674199934398,-4.5914488773727555,,,4.5914488773727555,0.0,0.0,range_beacon,0.0,0.0
1.0,1.1664,55.0,1.5640666253565636,0.3333333333,2.145553839177738,-2.290999305013216,,,2.290999305013216,0.0,0.0,barometer_altitude,0.0,0.3333333333
1.0,1.2597120000000002,55.0,1.544343505966586,0.6666666667,1.3318797403421412,1.7822819654875275,,,1.7822819654875275,0.0,0.0,barometer_altitude,0.0,0.6666666667
1.0,1.3604889600000003,55.0,5.319148775658736,1.0,3.424595335485915,-0.14145747638637118,0.005036939345555602,5.391387495097831,5.393245285603172,0.0,0.0,gps_range_bearing_altitude,0.0,1.0
1.0,1.3604889600000003,55.0,1.3499395241297194,1.0,0.4159292873973916,0.8706108274376874,,,0.8706108274376874,0.0,0.0,barometer_altitude,0.0,1.0
1.0,1.3604889600000003,55.0,2.44009633853699,1.0,0.6995982395852081,-2.040945121567322,,,2.040945121567322,0.0,0.0,range_beacon,0.0,1.0
1.0,1.3604889600000003,55.0,1.5523750146498463,1.0,0.8769258247910326,-1.4537109914771236,,,1.4537109914771236,0.0,0.0,range_beacon,0.0,1.0
1.0,1.3604889600000003,55.0,2.4474520026173003,1.0,0.00030938166813128945,0.04304884183713398,,,0.04304884183713398,0.0,0.0,range_beacon,0.0,1.0
1.0,1.3604889600000003,55.0,1.300064382913684,1.3333333333,0.00893211816380783,0.12286893395371123,,,0.12286893395371123,0.0,0.0,barometer_altitude,0.0,1.3333333333
1.0,1.3604889600000003,55.0,1.2382496119287811,1.6666666667,0.34263317436609364,0.7248078786493863,,,0.7248078786493863,0.0,0.0,barometer_altitude,0.0,1.6666666667
1.0,1.3604889600000003,55.0,4.393687207601335,2.0,2.432091233874702,-1.9200781199854262,-0.041850548697884626,-4.007422216480961,4.443859164782145,0.0,0.0,gps_range_bearing_altitude,0.0,2.0
1.0,1.3604889600000003,55.0,1.1702991476311766,2.0,0.07797330377424076,0.3267908264509174,,,0.3267908264509174,0.0,0.0,barometer_altitude,0.0,2.0
1.0,1.3604889600000003,55.0,1.8718763399806613,2.0,0.16688872714467715,0.7646992356972007,,,0.7646992356972007,0.0,0.0,range_beacon,0.0,2.0
1.0,1.3604889600000003,55.0,1.4907175424320744,2.0,0.28662117756035643,0.7980856465235604,,,0.7980856465235604,0.0,0.0,range_beacon,0.0,2.0
1.0,1.3060694016000003,55.0,2.070138163452082,2.0,0.012710938222098362,-0.23339316623483342,,,0.23339316623483342,0.0,0.0,range_beacon,0.0,2.0
1.0,1.2538266255360002,55.0,1.1376777821271522,2.3333333333,0.024689230844377998,-0.17876111586170396,,,0.17876111586170396,0.0,0.0,barometer_altitude,0.0,2.3333333333
1.0,1.20367356051456,55.0,1.1090378286004132,2.6666666667,0.027287293708701525,0.18320047385694238,,,0.18320047385694238,0.0,0.0,barometer_altitude,0.0,2.6666666667
1.0,1.1555266180939776,55.0,4.028395309479933,3.0,3.1912889898129677,4.784704382090055,-0.010172679580203958,-2.01583499395511,5.192021786381064,0.0,0.0,gps_range_bearing_altitude,0.0,3.0
1.0,1.1093055533702185,55.0,1.0573611257541904,3.0,0.4863413870001042,0.7373844142474866,,,0.7373844142474866,0.0,0.0,barometer_altitude,0.0,3.0
1.0,1.0649333312354097,55.0,1.6028015814020353,3.0,1.551566118020144,1.9964797329928317,,,1.9964797329928317,0.0,0.0,range_beacon,0.0,3.0
1.0,1.0223359979859932,55.0,1.3282182447138762,3.0,0.12345890895661041,0.46669232510626557,,,0.46669232510626557,0.0,0.0,range_beacon,0.0,3.0
1.0,0.9814425580665534,55.0,1.7064540956326126,3.0,0.09936062361043473,0.5379002725628652,,,0.5379002725628652,0.0,0.0,range_beacon,0.0,3.0
1.0,0.9421848557438913,55.0,1.006524585382056,3.3333333333,0.029068414769685653,0.17160702470035005,,,0.17160702470035005,0.0,0.0,barometer_altitude,0.0,3.3333333333
1.0,0.9421848557438913,55.0,0.9806303887271939,3.6666666667,4.551915123236808,-2.092196278116461,,,2.092196278116461,0.0,0.0,barometer_altitude,0.0,3.6666666667
