accepted,gate,innovation_std,measurement_time_s,nis,residual_0,residual_1,residual_2,residual_norm,sensor_is_dropout,sensor_is_outlier,source,stale_s,time_s
1.0,55.0,9.03238547899337,0.0,1.4709561550061272,-7.516942548449585,-0.037975036563111964,-1.5915802632300142,7.683683694322472,0.0,0.0,gps_range_bearing_altitude,0.0,0.0
1.0,55.0,2.3470248220270253,0.0,0.0029651708684407837,-0.1278034404300854,,,0.1278034404300854,0.0,0.0,barometer_altitude,0.0,0.0
1.0,55.0,2.437755077754096,0.0,0.6026917046209179,1.8925077937615313,,,1.8925077937615313,0.0,0.0,range_beacon,0.0,0.0
1.0,55.0,1.5185368895829066,0.0,6.325709889120862,3.819266660582599,,,3.819266660582599,0.0,0.0,range_beacon,0.0,0.0
1.0,55.0,2.1887196881693383,0.0,4.400674199934398,-4.5914488773727555,,,4.5914488773727555,0.0,0.0,range_beacon,0.0,0.0
1.0,55.0,1.5496142773459043,0.3333333333,2.1857611208614154,-2.290999305013216,,,2.290999305013216,0.0,0.0,barometer_altitude,0.0,0.3333333333
1.0,55.0,1.488033852727533,0.6666666667,1.5256507118927427,1.837978257313324,,,1.837978257313324,0.0,0.0,barometer_altitude,0.0,0.6666666667
1.0,55.0,5.017195221100809,1.0,4.1537847163506605,-0.14214074014850553,0.005063884891503445,5.3403124679464895,5.342206181742228,0.0,0.0,gps_range_bearing_altitude,0.0,1.0
1.0,55.0,1.2219004179744706,1.0,0.3689824473962679,0.742230278453448,,,0.742230278453448,0.0,0.0,barometer_altitude,0.0,1.0
1.0,55.0,2.223749344301599,1.0,0.8360166906911163,-2.03326182642072,,,2.03326182642072,0.0,0.0,range_beacon,0.0,1.0
1.0,55.0,1.3407379549991127,1.0,1.2610945148362247,-1.5056281375850915,,,1.5056281375850915,0.0,0.0,range_beacon,0.0,1.0
1.0,55.0,2.229511304286709,1.0,0.0003870090638947707,0.043860163564886534,,,0.043860163564886534,0.0,0.0,range_beacon,0.0,1.0
1.0,55.0,1.1440178233637006,1.3333333333,0.00017924404040831833,-0.015316345454152724,,,0.015316345454152724,0.0,0.0,barometer_altitude,0.0,1.3333333333
1.0,55.0,1.079812976488606,1.6666666667,0.3454200762838299,0.6346325310289842,,,0.6346325310289842,0.0,0.0,barometer_altitude,0.0,1.6666666667
1.0,55.0,3.7979149967421217,2.0,3.3583933334974985,-1.8819314272527379,-0.041999778626857776,-4.0859907541080105,4.498749862010821,0.0,0.0,gps_range_bearing_altitude,0.0,2.0
