bax,bax_error,bay,bay_error,baz,baz_error,covariance_trace,filter,nees_position,pos_error_m,profile,px,py,pz,sigma_pos_m,sigma_velocity_mps,time_s,velocity_error_mps,vx,vy,vz,yaw_error_rad,yaw_est_rad
0.0,-0.035,0.0,0.025,0.0,-0.02,11.080784991955802,sqrt,0.7123010967105659,1.0762936301480455,nominal,15.29977130904338,-10.894214081341197,85.5185810614579,3.2244552497653536,0.4833976977773607,0.0,0.59636322614082,11.909523579088289,0.7135291570482023,0.4328802092493049,-0.03982769854577528,0.05984095394538687
0.0,-0.03469177879177308,0.0,0.025041432967400353,0.0,-0.01982661607999556,11.084258692333577,sqrt,0.7702760740935101,1.1126418169329095,nominal,16.094014454995097,-10.84671854063667,85.5477027647987,3.2246167071629905,0.4859067134943552,0.0666666667,0.6013966318905434,11.917770787549616,0.711337063375151,0.44077089053828844,-0.040052290274205316,0.05961636221695683
0.0,-0.034521118784280734,0.0,0.024940562111625424,0.0,-0.020034985931309836,11.093842522115343,sqrt,0.8302522497592343,1.1494349386258953,nominal,16.888515137083033,-10.79925167644162,85.57704383648606,3.2251053139243875,0.4924807978104528,0.1333333333,0.5999958091311536,11.91724969892347,0.712668863900376,0.4394612609626309,-0.039974331538119134,0.05973031933029757
0.0,-0.03461566985687562,0.0,0.024762175952397415,0.0,-0.02005528159269244,11.10962032536226,sqrt,0.8907800851615871,1.1861600101943097,nominal,17.682922318692377,-10.751597958298063,85.60611213445308,3.2259339161157357,0.5029605791873263,0.2,0.5936721044329567,11.914965737440811,0.7169426796915715,0.4325876776123204,-0.03967749381794272,0.060099148468931635
0.0,-0.03474465433018205,0.0,0.024321309255213395,0.0,-0.020151057943154218,11.131729279508543,sqrt,0.952202299928278,1.222896690216981,nominal,18.47708958118182,-10.703704272448494,85.63521560291716,3.2271235051177793,0.5171086561109592,0.2666666667,0.5975541494111943,11.910052125329955,0.7198678950770985,0.44051637587326303,-0.03951601423178763,0.06036860184254929
-2.5935452169459036e-16,-0.034747439829652844,-8.02419436140124e-17,0.02444713466752014,0.018427905556945335,-0.0017519217566058128,10.913957698874366,sqrt,1.1921529400441933,1.2020676935825876,nominal,19.271263252083795,-10.65579116417644,84.52760787792968,3.190448074200343,0.5339110716757494,0.3333333333,0.5677761507426906,11.915158025554593,0.7175253545220862,0.3795836597738419,-0.03988164987941456,0.06014690634285544
-2.5935452169459036e-16,-0.0346652574800325,-8.02419436140124e-17,0.02427995975392068,0.018427905556945335,-0.0014245055776267272,10.947466334704004,sqrt,1.1287978864291857,1.2218521498535044,nominal,20.06534586936778,-10.607850384692096,84.55282473086885,3.1921881360369473,0.554493495544558,0.4,0.56685563764749,11.907320481053683,0.7206980292890887,0.3769219280227719,-0.039756561968872894,0.060451879416652615
-2.5935452169459036e-16,-0.034362294612607786,-8.02419436140124e-17,0.024566587215637942,0.018427905556945335,-0.001569069528437314,10.987994439222653,sqrt,1.0674962216217172,1.2424499695220304,nominal,20.859127537134594,-10.5597082069277,84.5778404587843,3.1943999902234803,0.5778100807662858,0.4666666667,0.5652022030990361,11.90612954004403,0.7235673029206592,0.37354990906495766,-0.03972622531864767,0.06069801956333534
-2.5935452169459036e-16,-0.03430074962227651,-8.02419436140124e-17,0.024734068722729957,0.018427905556945335,-0.001048087634535802,11.035892115728004,sqrt,1.0084470669607695,1.2638769314115121,nominal,21.652892082866188,-10.511362514856003,84.60270696757257,3.1971374100231924,0.6035440289742386,0.5333333333,0.5644014966469589,11.906806855716704,0.726803460680671,0.3724453553294396,-0.03971057334609629,0.060965361346021194
-2.5935452169459036e-16,-0.03434542288525694,-8.02419436140124e-17,0.02456287318904662,0.018427905556945335,-0.0009418395735521674,11.091562793776342,sqrt,0.9523265813568957,1.2862976135023318,nominal,22.446857224300647,-10.462944212761762,84.62735355055422,3.2004620735776474,0.6313998393408617,0.6,0.5648452241451324,11.912147375407582,0.7257456014202833,0.36695213375024854,-0.04011385300723047,0.06084962045127724
-4.1913741247785284e-16,-0.03436831963865154,-9.826763417184514e-17,0.024748882864038386,0.025212658464097627,0.005506035401265739,11.050585414696325,sqrt,1.5222869399955439,1.3329013759846708,nominal,23.241287744305275,-10.41462225248441,84.58406307179884,3.1888371785123453,0.6580014284118799,0.6666666667,0.5611318363901349,11.920768212814805,0.7239132061754501,0.35069082943621493,-0.040634243033986994,0.06065257545131113
-4.1913741247785284e-16,-0.03459223091912512,-9.826763417184514e-17,0.02498180854287145,0.025212658464097627,0.005543042695528452,11.120190907663883,sqrt,1.421223342288903,1.3565773947723287,nominal,24.03583978620687,-10.366416779503552,84.60750655794553,3.1931431444661476,0.6892679687690815,0.7333333333,0.5680520124024503,11.915793068069753,0.7222509846964449,0.35261375566788355,-0.04110706994801072,0.060538851789616585
-4.1913741247785284e-16,-0.034860441796308886,-9.826763417184514e-17,0.024939846758256452,0.025212658464097627,0.005537343640991989,11.198961692548753,sqrt,1.3218063840274612,1.381040826093999,nominal,24.830402593042816,-10.318126071042014,84.63107890713192,3.1982524087264794,0.7219455234173482,0.8,0.5686388440261292,11.921091125090113,0.7264702684253413,0.35455671957030593,-0.04117608513037263,0.06086464471067567
-4.1913741247785284e-16,-0.035386230319560785,-9.826763417184514e-17,0.025080575883636994,0.025212658464097627,0.00561962749181797,11.287510720004322,sqrt,1.2260988941608355,1.406129526372921,nominal,25.62522801529002,-10.269487325179691,84.65465741633176,3.2042567756653857,0.7558511108446646,0.8666666667,0.5666118661641361,11.923671530403666,0.7326921067148293,0.3527985560708956,-0.041099819361233525,0.0613713647197198
-4.1913741247785284e-16,-0.03529560636133942,-9.826763417184514e-17,0.025044156059933268,0.025212658464097627,0.0057923699889924525,11.386504148051486,sqrt,1.1363559880794587,1.431690061473582,nominal,26.42029883717994,-10.220276001611769,84.67799988480125,3.211254947613977,0.7908267987584681,0.9333333333,0.5589071544532677,11.928453150146098,0.7436476017992016,0.3474754987142586,-0.04067546517739862,0.06226175522463603
-0.07293996591439086,-0.10832917650444368,-0.2699882998504149,-0.24472446699663017,-0.3150156402146606,-0.33478788211601107,5.8925399670511345,sqrt,0.3060530018649244,0.904367979364743,nominal,27.55365128171879,-9.501434294553757,85.10054068140602,2.342645941610518,0.4165501729300081,1.0,0.7797379423943418,12.055599020465907,1.1644398527394308,0.8762994263385613,-0.007148341333150565,0.09629042807464483
-0.07293996591439086,-0.1082907538979028,-0.2699882998504149,-0.24491624800752332,-0.3150156402146606,-0.3347683329167814,5.918439922161615,sqrt,0.3283441589937665,0.9121349412939774,nominal,28.357828189737813,-9.423134055938343,85.1595116593281,2.3446087017031583,0.43613483616945947,1.0666666667,0.7954766131884098,12.069708208042114,1.1845673045484564,0.8928299104392625,-0.00614523874301609,0.09783051761713332
-0.07293996591439086,-0.10806695479683974,-0.2699882998504149,-0.2450368529947811,-0.3150156402146606,-0.33464995257876584,5.948194765660313,sqrt,0.3872970306554727,0.9226896163422451,nominal,29.16273372102197,-9.343516990226872,85.21963724937675,2.3469535901502,0.45712886432877614,1.1333333333,0.8127186688915288,12.077457754629764,1.2039446691841895,0.9109377928238305,-0.005191069626368172,0.09935703155276164
