accepted,gate,innovation_std,measurement_time_s,nis,residual_0,residual_1,residual_2,residual_3,residual_4,residual_5,residual_norm,sensor_is_dropout,sensor_is_outlier,source,sqrt_condition,stale_s,time_s
1.0,55.0,0.8268653087108826,4.3333333333,0.43358566685176925,-0.5444678369370735,,,,,,0.5444678369370735,0.0,0.0,barometer_altitude,29.968241494254787,0.0,4.3333333333
1.0,55.0,0.8358490197767884,4.6666666667,0.6044904292104631,0.649864108774878,,,,,,0.649864108774878,0.0,0.0,barometer_altitude,33.36756248001703,0.0,4.6666666667
1.0,55.0,4.538413999119303,5.0,3.598983555776295,3.764056297014079,2.0501066695178993,1.0366920367956567,0.12263921140632839,0.3970297244004408,-0.015324701157035936,4.429299647500274,0.0,0.0,gps_position_velocity,32.300825609466756,0.0,5.0
1.0,55.0,0.8191015079248138,5.0,0.7504306047457493,-0.7095663215545613,,,,,,0.7095663215545613,0.0,0.0,barometer_altitude,32.300961675195296,0.0,5.0
0.0,0.0,0.0,5.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,5.0
0.0,0.0,0.0,5.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,5.0
0.0,0.0,0.0,5.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,5.0
1.0,55.0,0.825616482592555,5.3333333333,0.10666938730550392,0.269648652839777,,,,,,0.269648652839777,0.0,0.0,barometer_altitude,35.25014171164443,0.0,5.3333333333
1.0,55.0,0.8328737384550491,5.6666666667,0.6504415286851042,-0.6717122976124159,,,,,,0.6717122976124159,0.0,0.0,barometer_altitude,38.41177686474078,0.0,5.6666666667
1.0,55.0,4.496476017148939,6.0,18.302729522054193,-2.7998235220865837,-0.5487147899552297,-1.3420296589262222,1.2413268339870243,-0.38926112129545976,0.725928602875415,3.4871954557758396,0.0,0.0,gps_position_velocity,36.74146291916426,0.0,6.0
1.0,55.0,0.8185819612915001,6.0,0.008842595214824892,-0.07697541562127697,,,,,,0.07697541562127697,0.0,0.0,barometer_altitude,36.74152482750261,0.0,6.0
0.0,0.0,0.0,6.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,6.0
0.0,0.0,0.0,6.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,6.0
0.0,0.0,0.0,6.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,6.0
1.0,55.0,0.8241112656712475,6.3333333333,1.1689050322912107,-0.8909954067856205,,,,,,0.8909954067856205,0.0,0.0,barometer_altitude,39.44969747365824,0.0,6.3333333333
1.0,55.0,0.8299348298800869,6.6666666667,3.166185022783467,-1.4767675342284434,,,,,,1.4767675342284434,0.0,0.0,barometer_altitude,42.3815111084415,0.0,6.6666666667
1.0,55.0,4.467378247572771,7.0,8.10986533997319,-2.5039461334144306,-2.7254391969503544,-0.6335560734679291,0.3976694455262475,-0.8075858457540224,-0.18243395593074324,3.865588750499269,0.0,0.0,gps_position_velocity,40.23863210478948,0.0,7.0
1.0,55.0,0.8177436321823907,7.0,4.082234579078857,1.6522134357139464,,,,,,1.6522134357139464,0.0,0.0,barometer_altitude,40.23866134977725,0.0,7.0
0.0,0.0,0.0,7.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,7.0
0.0,0.0,0.0,7.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,7.0
0.0,0.0,0.0,7.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,7.0
1.0,55.0,0.8223701298399875,7.3333333333,1.7551362846509344,-1.08948874925359,,,,,,1.08948874925359,0.0,0.0,barometer_altitude,42.77897645636891,0.0,7.3333333333
1.0,55.0,0.8270732424425609,7.6666666667,0.3418998908622426,0.4836079725047,,,,,,0.4836079725047,0.0,0.0,barometer_altitude,45.56388102823299,0.0,7.6666666667
1.0,55.0,4.446387638918162,8.0,5.175779709000373,0.700979379605144,3.112128400565207,1.962102000599728,-0.20178564322641002,-0.2059810878435222,0.49842493724632947,3.789212662997965,0.0,0.0,gps_position_velocity,43.091171036252284,0.0,8.0
1.0,55.0,0.816632242083829,8.0,1.654583496765573,-1.0504390705946918,,,,,,1.0504390705946918,0.0,0.0,barometer_altitude,43.091185045469295,0.0,8.0
0.0,0.0,0.0,8.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,8.0
0.0,0.0,0.0,8.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,8.0
0.0,0.0,0.0,8.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,8.0
1.0,55.0,0.8204996317710934,8.3333333333,1.3988193850637318,0.9704188223967805,,,,,,0.9704188223967805,0.0,0.0,barometer_altitude,45.549192232264495,0.0,8.3333333333
1.0,55.0,0.8243448915027507,8.6666666667,0.6660634750974758,0.6727702217333018,,,,,,0.6727702217333018,0.0,0.0,barometer_altitude,48.26624913445403,0.0,8.6666666667
1.0,55.0,4.430801859759057,9.0,1.5919616369728176,1.6753101571655264,1.6690841933627691,1.1385497805367066,0.23458673028729926,0.05537460587512122,0.13960849050004284,2.6393918961795007,0.0,0.0,gps_position_velocity,45.565220036426595,0.0,9.0
