altitude_m,ax,ay,az,bax_true,bay_true,baz_true,bias_true_m,gx,gy,gz,is_dropout,is_outlier,kind,latency_s,measurement_time_s,sensor,time_s,valid,vx,vy,vz,x,y,z
,0.10452921637474255,0.3360840553850913,-0.03319272548661636,0.035,-0.025,0.02,,-0.0005386250405408245,0.0014503644710258535,0.002302748996278937,0.0,0.0,inertial,,0.0,imu,0.0,1.0,,,,,,
,,,,,,,,,,,0.0,0.0,position_velocity,0.0,0.0,gps,0.0,1.0,17.971859148890793,1.428979581747794,-0.12153705647747948,-1.6155447236576748,1.8448000163869256,120.30710783366565
119.86427791198089,,,,,,,0.0,,,,0.0,0.0,altitude,,0.0,barometer,0.0,1.0,,,,,,
,0.20033923208151372,0.3779554361089389,-0.09306589461682062,0.035163724242138185,-0.025059375145329205,0.01994194444962459,,-0.0015676332573175515,-0.0005366829589665529,0.02010934381608382,0.0,0.0,inertial,,0.05,imu,0.05,1.0,,,,,,
,0.2084927217830707,0.3151097006471018,0.014532362499064765,0.03499407951226518,-0.024958122359495998,0.019933840702927388,,-0.0019572327035690534,-0.0036315092773770543,0.02029788681220656,0.0,0.0,inertial,,0.1,imu,0.1,1.0,,,,,,
,0.09010936672356462,0.33800489621129004,-0.02113430994679364,0.03506957591812213,-0.025419857775090763,0.020002313420718405,,0.0006006134944817659,0.002656191773908499,0.02099015713112701,0.0,0.0,inertial,,0.15,imu,0.15,1.0,,,,,,
,0.1521999228311889,0.34417600921762775,-0.07856022591805506,0.03495042002174698,-0.025489934911811032,0.02020686054297796,,0.0041817582902822096,-0.0010987182680134884,0.01707172365768555,0.0,0.0,inertial,,0.2,imu,0.2,1.0,,,,,,
120.24194770520225,,,,,,,1.9985432361037945e-05,,,,0.0,0.0,altitude,,0.2,barometer,0.2,1.0,,,,,,
,0.1258937727766482,0.3386548594880762,-0.06240212189710005,0.03481800542847575,-0.02554377712051522,0.019936022062710727,,0.0007741021469399254,-0.0009164003404747577,0.018967408923585633,0.0,0.0,inertial,,0.25,imu,0.25,1.0,,,,,,
,0.14486102505534443,0.30362993034782093,-0.08131730476976673,0.0347914816161448,-0.025507594081042174,0.01985732517585179,,-0.0012433123382796316,0.0018847394496646589,0.019682111595641826,0.0,0.0,inertial,,0.3,imu,0.3,1.0,,,,,,
,0.18718762996952953,0.3020306320277685,-0.026989377528500207,0.034872912930419143,-0.025669503303642708,0.019749878984917292,,-0.0017769939137976859,-0.001540597959677348,0.017678488122658053,0.0,0.0,inertial,,0.35,imu,0.35,1.0,,,,,,
,0.1732641815061274,0.30725627986114806,0.006286718455094235,0.034799573210574204,-0.025842700704666943,0.01973852079883897,,0.0015994284399122529,-0.0010526709099212314,0.019294145461025376,0.0,0.0,inertial,,0.4,imu,0.4,1.0,,,,,,
120.27472265068523,,,,,,,-0.0021720165197852675,,,,0.0,0.0,altitude,,0.4,barometer,0.4,1.0,,,,,,
,0.23993069873844003,0.2984271900698051,0.03294045224233866,0.034961875561765485,-0.026197248001393048,0.019757439654570552,,0.0011248919430067851,-0.0019760939502311207,0.02178086242218361,0.0,0.0,inertial,,0.45,imu,0.45,1.0,,,,,,
,0.2438663915907281,0.18636583319413388,0.16546246257606442,0.03476346752734199,-0.02599830000721459,0.019680631877973323,,-0.001108161416173931,0.00045172386552578474,0.017562876519529584,0.0,0.0,inertial,,0.5,imu,0.5,1.0,,,,,,
,0.1984655003252788,0.32353376947562584,0.06458416308409423,0.03483809964376096,-0.02628157392240071,0.019338238737472046,,0.0018229823148676386,0.0032318279874891456,0.015547889502972662,0.0,0.0,inertial,,0.55,imu,0.55,1.0,,,,,,
,0.2561388203171785,0.26678602382656624,0.027418521000790494,0.03481483325873759,-0.026746554005915173,0.019496498020972412,,0.002333546426604896,0.0011231275083572031,0.018872950266616336,0.0,0.0,inertial,,0.6,imu,0.6,1.0,,,,,,
120.07024091337574,,,,,,,-0.0011897139732909767,,,,0.0,0.0,altitude,,0.6,barometer,0.6,1.0,,,,,,
,0.3013843054708839,0.29561940846809415,-0.041840064786453766,0.034988527454954156,-0.026913003026226286,0.019393315657274736,,0.0034847425466630563,-0.0002444857051471123,0.01875286008981026,0.0,0.0,inertial,,0.65,imu,0.65,1.0,,,,,,
,0.19195850322966215,0.22055113716448588,-0.03232691888351607,0.03502200782779898,-0.026889380582095963,0.019286211069423444,,-0.0013007999381198108,-0.003070115653462597,0.015476327327021207,0.0,0.0,inertial,,0.7,imu,0.7,1.0,,,,,,
,0.15110297350630786,0.3163987594947334,0.016292603019597347,0.034963141332450036,-0.026722455542161096,0.019057323382384705,,0.00017822070903683455,0.0022702410730308636,0.016528973157313387,0.0,0.0,inertial,,0.75,imu,0.75,1.0,,,,,,
,0.27802420451256354,0.3213170463740665,-0.0021271601622577206,0.03477396498677499,-0.02688256582678175,0.019197042765751304,,-0.0019124360682156393,-0.0030477113559787892,0.018786830283443745,0.0,0.0,inertial,,0.8,imu,0.8,1.0,,,,,,
119.34595427471407,,,,,,,-0.00271088870498828,,,,0.0,0.0,altitude,,0.8,barometer,0.8,1.0,,,,,,
,0.2606969292582988,0.2545762436254325,0.03491600418343423,0.03491452598719521,-0.02697153804649212,0.01922801138149423,,0.004001077378451095,-0.0011372022409864282,0.01753896724579963,0.0,0.0,inertial,,0.85,imu,0.85,1.0,,,,,,
,0.25741087716974725,0.31739545709971656,0.016288826480466083,0.035148842017187654,-0.027065086416450095,0.019213079832906106,,0.0014797100908459113,-0.0024750043699001737,0.017713201778126828,0.0,0.0,inertial,,0.9,imu,0.9,1.0,,,,,,
,0.3677457230409299,0.30742173432368813,-0.004098103341274847,0.03535748298297021,-0.027084370029867536,0.019266376557157162,,0.0012722589638707094,0.0023636026739643832,0.017218305938285255,0.0,0.0,inertial,,0.95,imu,0.95,1.0,,,,,,
,0.2482129579608914,0.3264853076433803,-0.05348847422908887,0.035649199943044406,-0.02729778712498306,0.01921072742062404,,-0.002206785703934992,-0.0008817888594119514,0.019156788696693804,0.0,0.0,inertial,,1.0,imu,1.0,1.0,,,,,,
,,,,,,,,,,,0.0,0.0,position_velocity,0.0,1.0,gps,1.0,1.0,18.1188008006794,2.0009399626928173,0.17318063289536972,17.305817764720093,1.1072355339495439,118.74361953265846
120.2042610038555,,,,,,,-0.0014802608919908563,,,,0.0,0.0,altitude,,1.0,barometer,1.0,1.0,,,,,,
,0.33574163154227565,0.3316569994930323,0.03897365475137799,0.035757265523761184,-0.027130190946055642,0.019308536528435175,,0.000172786085162113,-0.0038959736133992707,0.020060668167343372,0.0,0.0,inertial,,1.05,imu,1.05,1.0,,,,,,
,0.23639684737121097,0.28288612742547575,0.07256674387522222,0.03600826752242454,-0.027343888222489395,0.019227540784348938,,0.0021456720572026176,-2.2873536492815206e-05,0.013138193834303154,0.0,0.0,inertial,,1.1,imu,1.1,1.0,,,,,,
,0.23594132456010086,0.3218410546210865,0.10721783973286322,0.03618508102414856,-0.02746324649891696,0.01934848074968115,,-0.0020767824049405872,-0.0015422400775778982,0.018334198176845975,0.0,0.0,inertial,,1.15,imu,1.15,1.0,,,,,,
,0.24900080509558037,0.284091147548305,0.08274049429019183,0.03626018657003919,-0.02735815899177423,0.019121596060332483,,-0.0004380717919505894,-0.0005246565176391252,0.018232127936509045,0.0,0.0,inertial,,1.2,imu,1.2,1.0,,,,,,
120.18785365409563,,,,,,,0.0006309402044310849,,,,0.0,0.0,altitude,,1.2,barometer,1.2,1.0,,,,,,
,0.2994223949203227,0.25960154840114286,0.12205454857759557,0.03637204126681896,-0.02732160287139209,0.01902563155582253,,0.0017336191376452475,0.0023253457883625405,0.01742839399203147,0.0,0.0,inertial,,1.25,imu,1.25,1.0,,,,,,
