altitude_m,ax,ay,az,bax_true,bay_true,baz_true,beacon_id,beacon_x,beacon_y,beacon_z,bias_true_m,gx,gy,gz,is_dropout,is_outlier,kind,latency_s,measurement_time_s,range_m,sensor,time_s,valid,vx,vy,vz,x,y,z
,-0.04580035587467768,-0.04617238230084021,0.020984642346466357,0.035,-0.025,0.02,,,,,,0.002080326408481415,-0.0020357949341136676,0.0007975516379153835,0.0,0.0,inertial,,0.0,,imu,0.0,1.0,,,,,,
,,,,,,,,,,,,,,,0.0,0.0,position_velocity,0.0,0.0,,gps,0.0,1.0,16.010815935370335,1.1850468212377014,0.2473696002269763,1.652576281267195,-2.033500888781049,91.56801249891528
89.91038060225189,,,,,,,,,,,0.0,,,,0.0,0.0,altitude,,0.0,,barometer,0.0,1.0,,,,,,
,,,,,,,0.0,0.0,0.0,90.0,,,,,0.0,0.0,range,,0.0,0.33496255896261407,range_beacon,0.0,1.0,,,,,,
,,,,,,,1.0,260.0,-80.0,95.0,,,,,0.0,0.0,range,,0.0,272.00720001548484,range_beacon,0.0,1.0,,,,,,
,,,,,,,2.0,120.0,220.0,90.0,,,,,0.0,0.0,range,,0.0,249.94920188252308,range_beacon,0.0,1.0,,,,,,
,0.04805577480255001,-0.010448232352877292,0.029753694820935175,0.034968058263536515,-0.025026946292267586,0.019898532410384,,,,,,0.00026746448945581255,-0.0003400638123044082,-0.003340768370162394,0.0,0.0,inertial,,0.05,,imu,0.05,1.0,,,,,,
,0.10742664873909771,-0.06790075245686394,-0.01941253933894663,0.03496911603160983,-0.024824936575835076,0.01955448942278826,,,,,,0.0025553569106074796,0.0002680049139221223,0.0004231171107921778,0.0,0.0,inertial,,0.1,,imu,0.1,1.0,,,,,,
,0.05471680942378704,0.0024713135282959653,-0.038693733156512436,0.03477809294146312,-0.024931027805740056,0.01974813142831356,,,,,,0.0005818251230689256,-0.0031225322222284964,0.0033720055551154605,0.0,0.0,inertial,,0.15,,imu,0.15,1.0,,,,,,
,-0.06304112892418412,-0.004409348521444041,0.008403877314727394,0.03480300949524909,-0.024813473491697532,0.019919446307266272,,,,,,-0.0005212986195189115,-0.0016303049611933597,0.002950255785861112,0.0,0.0,inertial,,0.2,,imu,0.2,1.0,,,,,,
90.56090499300817,,,,,,,,,,,0.0014052331952021132,,,,0.0,0.0,altitude,,0.2,,barometer,0.2,1.0,,,,,,
,-0.011756572627504458,-0.05375897661959167,-0.04792370616672777,0.03467803266479754,-0.024739207146140026,0.01979463922754679,,,,,,-0.0005901320294704846,0.0009910089936624445,0.0035959787933310186,0.0,0.0,inertial,,0.25,,imu,0.25,1.0,,,,,,
,0.020559776178173117,0.04905664521901573,0.08881190597842888,0.034608788389780765,-0.02488152996915496,0.02011128390505018,,,,,,-0.0008307576860392112,-5.909243001942851e-05,0.0025020666589843873,0.0,0.0,inertial,,0.3,,imu,0.3,1.0,,,,,,
,0.09319809951610894,0.10356616665606143,0.005721898534243718,0.034542142835323565,-0.025001412942112368,0.020181087788809355,,,,,,-0.0005362448055674322,-0.0016005770875368354,-0.0005043258132058077,0.0,0.0,inertial,,0.35,,imu,0.35,1.0,,,,,,
,0.0884554999542645,0.03135331517838668,0.030541844966955382,0.034699034741446366,-0.024985418358163963,0.02039160499579715,,,,,,-0.0010310850231257847,0.001495806124360631,0.005487771379456815,0.0,0.0,inertial,,0.4,,imu,0.4,1.0,,,,,,
90.82249311562126,,,,,,,,,,,0.004094280907538021,,,,0.0,0.0,altitude,,0.4,,barometer,0.4,1.0,,,,,,
,-0.004924368529635285,0.061746218552456905,0.03135283062664132,0.03478739623265253,-0.02520950359277381,0.020648650406174262,,,,,,-0.0002140829915958882,0.0026099408903905337,0.006648131800200092,0.0,0.0,inertial,,0.45,,imu,0.45,1.0,,,,,,
,0.019418630268364337,0.0865166724200888,0.04033055584323216,0.03483062255489579,-0.024946020871025345,0.020853509808641098,,,,,,-0.00302925168462272,-0.0001841944167716537,0.005304176626132893,0.0,0.0,inertial,,0.5,,imu,0.5,1.0,,,,,,
,0.08015440797416049,0.04098678927801987,0.05276554781934545,0.03457028401861967,-0.02483489656053004,0.02096978858566273,,,,,,-0.0002205890227482316,-0.0023147584039885996,0.002225964167216656,0.0,0.0,inertial,,0.55,,imu,0.55,1.0,,,,,,
,-0.006697608479047941,0.08531901079964713,0.052074635033733746,0.03445736842712954,-0.025105388675925554,0.02105962147984888,,,,,,-0.00042260017207032996,0.0006321481500020673,0.002066918921799575,0.0,0.0,inertial,,0.6,,imu,0.6,1.0,,,,,,
89.79461013915113,,,,,,,,,,,0.00689635131658768,,,,0.0,0.0,altitude,,0.6,,barometer,0.6,1.0,,,,,,
,0.03914956689351148,0.026669914376607075,0.06485090825375056,0.034350747318599884,-0.024801587287653592,0.02106708060590607,,,,,,8.279872615063592e-05,0.0035978735347984942,0.004080023928548377,0.0,0.0,inertial,,0.65,,imu,0.65,1.0,,,,,,
,0.0037627293259438546,0.051424238963453404,0.06563091889935393,0.034578784979106984,-0.024901336677429317,0.02103430286523473,,,,,,-0.0026943252088973816,-0.0017761872590638318,0.0038446338232150357,0.0,0.0,inertial,,0.7,,imu,0.7,1.0,,,,,,
,0.036441450768787506,0.1138573186436111,0.031847018649804444,0.03477042157731502,-0.024884782132677856,0.020896849688062883,,,,,,-0.002527731266111584,0.0021090475301731087,0.003580241276533366,0.0,0.0,inertial,,0.75,,imu,0.75,1.0,,,,,,
,0.021804373665110913,0.06322419528625409,0.04088326635091294,0.03494061303678734,-0.024852718349927867,0.021104932339832988,,,,,,0.004071395706140863,-0.0019103478700631781,0.0031721300108248215,0.0,0.0,inertial,,0.8,,imu,0.8,1.0,,,,,,
88.61240543659244,,,,,,,,,,,0.0060381722505219275,,,,0.0,0.0,altitude,,0.8,,barometer,0.8,1.0,,,,,,
,0.04899925382303328,0.08019423377990914,0.03717188023076663,0.0345966195271602,-0.024669749488334645,0.02092111053061242,,,,,,0.0005617912549690394,-0.001051164641694649,0.0058476140368703,0.0,0.0,inertial,,0.85,,imu,0.85,1.0,,,,,,
,-0.03736607321561189,-0.026678051621394458,0.07482273439619444,0.03446411847992671,-0.024551835747984706,0.020832163150267223,,,,,,0.0024743508055734657,0.002212844779691727,0.00788192984842982,0.0,0.0,inertial,,0.9,,imu,0.9,1.0,,,,,,
,0.033869191217356216,0.10138950184456963,-0.013869362332575554,0.03471169426786818,-0.024290232398176806,0.02076813000022476,,,,,,8.63080335908656e-05,0.00288726993626953,0.006027712892528158,0.0,0.0,inertial,,0.95,,imu,0.95,1.0,,,,,,
,0.07531564744146853,0.0788643662701491,0.009803526931486728,0.03471677480841201,-0.02433480195493492,0.02101030618257579,,,,,,-0.0018062673021367423,0.0044964412186716705,0.006559743181497061,0.0,0.0,inertial,,1.0,,imu,1.0,1.0,,,,,,
,,,,,,,,,,,,,,,0.0,0.0,position_velocity,0.0,1.0,,gps,1.0,1.0,16.167694875234478,0.7075984566126221,0.32499093201587737,17.757521477673745,2.501651211611672,89.47898877563141
89.58724022111926,,,,,,,,,,,0.006910468032156421,,,,0.0,0.0,altitude,,1.0,,barometer,1.0,1.0,,,,,,
,,,,,,,0.0,0.0,0.0,90.0,,,,,0.0,0.0,range,,1.0,15.63668243166455,range_beacon,1.0,1.0,,,,,,
,,,,,,,1.0,260.0,-80.0,95.0,,,,,0.0,0.0,range,,1.0,257.92546157830003,range_beacon,1.0,1.0,,,,,,
,,,,,,,2.0,120.0,220.0,90.0,,,,,0.0,0.0,range,,1.0,241.62564193731518,range_beacon,1.0,1.0,,,,,,
,0.058029152719268964,0.030312256862243515,0.1389513485824857,0.03464241897714378,-0.02457024004500374,0.021226438223909214,,,,,,0.00148106074317799,0.0012976402929260535,0.007839108247697516,0.0,0.0,inertial,,1.05,,imu,1.05,1.0,,,,,,
,0.05058027122038447,0.04287622020802181,0.053136660497403496,0.03500197060041452,-0.02454673174673536,0.02129922628484594,,,,,,-0.002952578177360277,-0.0038446617699105915,0.010970868156653504,0.0,0.0,inertial,,1.1,,imu,1.1,1.0,,,,,,
,-0.05249547243646752,0.10665256065999655,0.08718149604662748,0.0346994580134064,-0.02448749015167196,0.021432702782975835,,,,,,0.0011439977451648872,6.463712181556333e-05,0.008200793732550121,0.0,0.0,inertial,,1.15,,imu,1.15,1.0,,,,,,
,0.09110088214502521,0.10183140471778461,0.036708457004175535,0.034745162431383494,-0.024479680630561638,0.021397011819413832,,,,,,-0.0010836906423487916,-0.002156874731868307,0.006270455727949758,0.0,0.0,inertial,,1.2,,imu,1.2,1.0,,,,,,
89.44760160539938,,,,,,,,,,,0.0034669277161831517,,,,0.0,0.0,altitude,,1.2,,barometer,1.2,1.0,,,,,,
,0.05334181826111203,0.11412124800235289,-0.07126394432491101,0.034703074052333985,-0.024271422179786013,0.021503854158972484,,,,,,0.0010669495508654583,-3.2999836074583042e-06,0.0067663480536223,0.0,0.0,inertial,,1.25,,imu,1.25,1.0,,,,,,
,0.04331954633372462,0.0454745081257594,-0.007723754308077188,0.03480372921342636,-0.02425370079606095,0.021430158434997994,,,,,,-0.0007676779078271658,0.0012273595996092161,0.013372019025399386,0.0,0.0,inertial,,1.3,,imu,1.3,1.0,,,,,,
,0.07889227767448595,0.07753014544098653,0.00055301184147152,0.03466931518482299,-0.024407801012707224,0.021459448450507408,,,,,,-0.0005963551379617703,0.0012567844548388681,0.01037987219959018,0.0,0.0,inertial,,1.35,,imu,1.35,1.0,,,,,,
,0.03525695101480472,0.132246838229247,0.037858621171954536,0.034702327243222926,-0.024509848591308513,0.021464432787244386,,,,,,-0.0014572307051327435,-0.0018827271880605548,0.009261402307617501,0.0,0.0,inertial,,1.4,,imu,1.4,1.0,,,,,,
90.33070239344264,,,,,,,,,,,0.007985228297427474,,,,0.0,0.0,altitude,,1.4,,barometer,1.4,1.0,,,,,,
,0.05395521297009582,0.12036322854229663,0.004081103574346087,0.03495044112739962,-0.024776952276446603,0.02139182645663367,,,,,,0.0015083492181399464,0.0003031743790879016,0.011895949870709905,0.0,0.0,inertial,,1.45,,imu,1.45,1.0,,,,,,
,0.09797005325660132,0.08906958525785996,0.020191135246936217,0.03482565378938842,-0.02482012599513272,0.02175688916510441,,,,,,-0.0003343512911635128,-0.0015718347825194763,0.011949946861423828,0.0,0.0,inertial,,1.5,,imu,1.5,1.0,,,,,,
,0.16923441602769887,0.12956415000236007,0.07704005359618908,0.03483310504751337,-0.0250192968520567,0.02177202348670483,,,,,,-0.0027371332790682643,-0.003084720326078283,0.01007387776716442,0.0,0.0,inertial,,1.55,,imu,1.55,1.0,,,,,,
,0.07694572260060203,0.05484002107776337,0.05105858241706551,0.03500980191015652,-0.024719730017475735,0.02189923606153348,,,,,,-0.004862476497464319,-0.0005790274045634941,0.010769261320902626,0.0,0.0,inertial,,1.6,,imu,1.6,1.0,,,,,,
91.07242782541081,,,,,,,,,,,0.006227410589103614,,,,0.0,0.0,altitude,,1.6,,barometer,1.6,1.0,,,,,,
,0.09053113428750967,0.09645891815639714,-0.0146951282925895,0.035050692206467476,-0.024674304314426625,0.021970126107764575,,,,,,-0.003843619039882306,-0.0018503607362396841,0.012872848707340671,0.0,0.0,inertial,,1.65,,imu,1.65,1.0,,,,,,
,0.11240410336820025,0.2193367149148568,0.045767631903602085,0.03493334598146042,-0.024836853396440463,0.02187282322519497,,,,,,-0.0033087783279779305,0.001340000166823736,0.009279241863757441,0.0,0.0,inertial,,1.7,,imu,1.7,1.0,,,,,,
,-0.0057714676731830256,0.20073759929619173,0.02860956144560787,0.0349131228711553,-0.024533892549991693,0.021980262483989103,,,,,,-0.00025110494877337355,0.0009847935530624425,0.01261566990771457,0.0,0.0,inertial,,1.75,,imu,1.75,1.0,,,,,,
,0.07469328849361467,0.22500599006706623,0.005597377018800056,0.0349684268254903,-0.024545270001059383,0.021900088364757604,,,,,,0.000592307747307923,0.00039503430358499617,0.013443123560293249,0.0,0.0,inertial,,1.8,,imu,1.8,1.0,,,,,,
91.23820315583596,,,,,,,,,,,0.005109250507256894,,,,0.0,0.0,altitude,,1.8,,barometer,1.8,1.0,,,,,,
,0.07717044578950424,0.11059631412791011,-0.007941675814467287,0.03500036513702904,-0.024399901155392024,0.021759671582938653,,,,,,0.00046972244916019786,-0.0003466080157995749,0.010284010828318015,0.0,0.0,inertial,,1.85,,imu,1.85,1.0,,,,,,
,0.12223571169943626,0.17574647673611052,0.02238244314568507,0.03527577755890788,-0.02434743633928238,0.02160519063568976,,,,,,0.0005571947417176295,0.0019202605351160752,0.012276315933823636,0.0,0.0,inertial,,1.9,,imu,1.9,1.0,,,,,,
,0.046350167977228934,0.1881850697790181,-0.013855641166185678,0.03530010315131967,-0.024207462501509045,0.021491733758073988,,,,,,-0.0011539491016386524,-0.0007380731038175008,0.013067185424372272,0.0,0.0,inertial,,1.95,,imu,1.95,1.0,,,,,,
,0.15419580414226874,0.17891053462116743,0.039710484387108835,0.03561841527356342,-0.024235932590068655,0.021438743627432096,,,,,,0.0001802268779985053,0.00238014303006067,0.011265237600043594,0.0,0.0,inertial,,2.0,,imu,2.0,1.0,,,,,,
,,,,,,,,,,,,,,,0.0,0.0,position_velocity,0.0,2.0,,gps,2.0,1.0,16.466681502153445,0.8179476059372648,0.2748349427262419,32.180673931903854,3.4271922784090783,92.91365001188471
91.81455955536559,,,,,,,,,,,0.003039800204201539,,,,0.0,0.0,altitude,,2.0,,barometer,2.0,1.0,,,,,,
,,,,,,,0.0,0.0,0.0,90.0,,,,,0.0,0.0,range,,2.0,32.528247887692196,range_beacon,2.0,1.0,,,,,,
,,,,,,,1.0,260.0,-80.0,95.0,,,,,0.0,0.0,range,,2.0,242.8046223814133,range_beacon,2.0,1.0,,,,,,
,,,,,,,2.0,120.0,220.0,90.0,,,,,0.0,0.0,range,,2.0,235.2446191733603,range_beacon,2.0,1.0,,,,,,
,0.0543251667921823,0.1363837363389872,0.03398786425360313,0.03540713521587577,-0.0242921435689541,0.021571453758251053,,,,,,0.0023648650230942495,-0.0007680083131402391,0.010894232928470242,0.0,0.0,inertial,,2.05,,imu,2.05,1.0,,,,,,
,0.05855154696392049,0.17318338629092261,0.08557365700833901,0.03517713969740353,-0.0243442371169776,0.021412433771373213,,,,,,0.0010016935546186929,-0.0006297182853376878,0.010213253136041994,0.0,0.0,inertial,,2.1,,imu,2.1,1.0,,,,,,
