accepted,adaptive_measurement_scale,gate,innovation_std,measurement_time_s,nis,residual_0,residual_1,residual_2,residual_norm,sensor_is_dropout,sensor_is_outlier,source,stale_s,time_s
1.0,1.0,70.0,9.461355155542485,0.0,1.0353046484726833,-1.7575444605908253,1.1682440300390908,-1.6986502594434398,2.709090132975043,0.0,0.0,gps_range_bearing_altitude,0.0,0.0
1.0,1.0,70.0,2.8742983333486642,0.0,0.11435948508110999,-0.9720037460392916,,,0.9720037460392916,0.0,0.0,barometer_altitude,0.0,0.0
1.0,1.0,70.0,2.2495629290976953,0.5,0.125124382744642,0.7957362091337075,,,0.7957362091337075,0.0,0.0,barometer_altitude,0.0,0.5
1.0,1.0,70.0,5.399941549220402,0.6,0.19330354217945414,-0.31509309060323076,0.22114356646481048,-0.9473051286170988,1.0225336862123076,0.0,0.0,doppler_velocity,0.050000000000000044,0.65
1.0,1.0,70.0,1.2783407467615973,1.0,0.03456758673117044,0.2376737194889813,,,0.2376737194889813,0.0,0.0,barometer_altitude,0.0,1.0
1.0,1.0,70.0,0.5260058148807822,1.0,0.4866348426616475,-0.1455952958272082,0.14497934349675812,-0.05200172998421826,0.211946172716364,0.0,0.0,doppler_velocity,0.050000000000000044,1.05
1.0,1.0,70.0,0.8467172083196631,1.0,0.5292722492728242,0.6159960795386326,,,0.6159960795386326,0.0,0.0,radar_altimeter,0.050000000000000044,1.05
1.0,1.0,70.0,0.734858796795283,1.125,1.577491462436691,0.9229696196939869,,,0.9229696196939869,0.0,0.0,radar_altimeter,0.02499999999999991,1.15
1.0,1.0,70.0,0.43653252866200476,1.2,0.4572839102875603,-0.00742397554215124,-0.13133877408464967,-0.1083473661546458,0.17042341606586223,0.0,0.0,doppler_velocity,0.0,1.2
1.0,1.0,70.0,0.6930606627434431,1.25,0.025870638072315776,0.11147431688443987,,,0.11147431688443987,0.0,0.0,radar_altimeter,0.0,1.25
1.0,1.0,70.0,0.6718107999114059,1.375,0.3253650807430042,0.38320613360959044,,,0.38320613360959044,0.0,0.0,radar_altimeter,0.02499999999999991,1.4
1.0,0.96,70.0,0.44336498044170236,1.4,0.22254720727833063,-0.08585405914898736,0.05620758594475994,0.06366944027219024,0.12076427375126053,0.0,0.0,doppler_velocity,0.050000000000000044,1.45
1.0,0.9216,70.0,0.6471048268789753,1.5,1.4498679347980012,-0.7791819113717224,,,0.7791819113717224,0.0,0.0,radar_altimeter,0.0,1.5
1.0,0.884736,70.0,1.0375124279747245,1.5,0.38585944963840335,0.6444776752019976,,,0.6444776752019976,0.0,0.0,barometer_altitude,0.0,1.5
1.0,0.84934656,70.0,0.40189410651932495,1.6,1.3293822932349126,0.1623928726706385,-0.1454604789859777,-0.15505703826714512,0.2675310844691345,0.0,0.0,doppler_velocity,0.0,1.6
1.0,0.8153726976,70.0,0.6027953129151917,1.625,0.01243553915953409,0.06722056778838237,,,0.06722056778838237,0.0,0.0,radar_altimeter,0.02499999999999991,1.65
1.0,0.782757789696,70.0,0.5859803705206472,1.75,0.3002080956926649,-0.3210659633654984,,,0.3210659633654984,0.0,0.0,radar_altimeter,0.050000000000000044,1.8
1.0,0.782757789696,70.0,0.3936117795854661,1.8,2.9460055947213233,0.34152994748300003,0.17366969077375916,-0.07486388269040856,0.3903952707867721,0.0,0.0,doppler_velocity,0.050000000000000044,1.85
1.0,0.782757789696,70.0,0.5696273381056289,1.875,0.6491791743077632,0.4589581790751396,,,0.4589581790751396,0.0,0.0,radar_altimeter,0.02499999999999991,1.9
1.0,0.7514474781081599,70.0,0.3644440182795762,2.0,1.8086616046335113,-0.23700526489361984,-0.1383880316522914,0.06957864292015215,0.2831323549905601,0.0,0.0,doppler_velocity,0.0,2.0
1.0,0.7514474781081599,70.0,4.557115253950799,2.0,2.4625572058485927,-4.834148549563878,-0.09364106002465045,0.5717115074472048,4.8687385322196794,0.0,0.0,gps_range_bearing_altitude,0.0,2.0
1.0,0.7514474781081599,70.0,0.9303497555829436,2.0,2.032581423475707,1.3263868999168125,,,1.3263868999168125,0.0,0.0,barometer_altitude,0.0,2.0
1.0,0.7514474781081599,70.0,0.5534835478168804,2.0,0.3461801546399259,-0.32565353728368507,,,0.32565353728368507,0.0,0.0,radar_altimeter,0.04999999999999982,2.05
1.0,0.7514474781081599,70.0,0.5504078476740332,2.125,0.05736567844273126,0.13182891706864552,,,0.13182891706864552,0.0,0.0,radar_altimeter,0.02499999999999991,2.15
1.0,0.7514474781081599,70.0,0.3548919400638889,2.2,2.2244992364730463,0.012653075346477749,-0.05393996256758915,0.2999351420371206,0.305009359374994,0.0,0.0,doppler_velocity,0.0,2.2
1.0,0.7514474781081599,70.0,0.5477523043167539,2.25,0.038997449620182235,-0.1081688757981425,,,0.1081688757981425,0.0,0.0,radar_altimeter,0.04999999999999982,2.3
1.0,0.7514474781081599,70.0,0.3561923916554827,2.4,4.498925819657041,-0.20419670689000924,0.3817959192315761,-0.05580961004994056,0.4365536984387315,0.0,0.0,doppler_velocity,0.050000000000000266,2.45
1.0,0.7514474781081599,70.0,0.9252090517660471,2.5,0.14712451067982832,0.35488070624072066,,,0.35488070624072066,0.0,0.0,barometer_altitude,0.0,2.5
1.0,0.7514474781081599,70.0,0.5455663452693505,2.5,0.031619597251947976,-0.09701206270258922,,,0.09701206270258922,0.0,0.0,radar_altimeter,0.04999999999999982,2.55
1.0,0.7514474781081599,70.0,0.3402737885687124,2.6,2.233054598151806,-0.05390031536151341,-0.11438030156532775,0.2645130773824198,0.2931812843422375,0.0,0.0,doppler_velocity,0.0,2.6
1.0,0.7514474781081599,70.0,0.5434038389254999,2.625,0.42768749757574204,-0.3553742692315893,,,0.3553742692315893,0.0,0.0,radar_altimeter,0.02499999999999991,2.65
1.0,0.7514474781081599,70.0,0.5427526627972007,2.75,0.01914238747761541,0.07509309671434039,,,0.07509309671434039,0.0,0.0,radar_altimeter,0.04999999999999982,2.8
1.0,0.7514474781081599,70.0,0.34346267353992016,2.8,1.273577610513385,0.12012111525621272,-0.01879914322044618,0.18749209512852083,0.22346314204338374,0.0,0.0,doppler_velocity,0.050000000000000266,2.85
1.0,0.7213895789838335,70.0,0.5406023710947513,2.875,0.5601062030897346,-0.40458813030747365,,,0.40458813030747365,0.0,0.0,radar_altimeter,-0.02499999999999991,2.85
1.0,0.6925339958244802,70.0,0.530205426292065,3.0,0.49157876318929367,0.3717412238630686,,,0.3717412238630686,0.0,0.0,radar_altimeter,0.0,3.0
1.0,0.6648326359915009,70.0,0.8850449342459092,3.0,0.1761699727432687,-0.3714764308706293,,,0.3714764308706293,0.0,0.0,barometer_altitude,0.0,3.0
1.0,0.6382393305518408,70.0,0.32478387183181245,3.0,0.6920533474148254,0.13376729211516292,-0.03553654734495071,-0.07214736607278605,0.15608259694233645,0.0,0.0,doppler_velocity,0.04999999999999982,3.05
1.0,0.6382393305518408,70.0,0.4994756704562001,3.125,2.151695169206218,0.7326637608769033,,,0.7326637608769033,0.0,0.0,radar_altimeter,0.02499999999999991,3.15
1.0,0.6127097573297672,70.0,0.3093065831629682,3.2,1.1530342719976105,-0.14022141715728864,-0.13114307201039033,0.00041126495299925736,0.19199145893706404,0.0,0.0,doppler_velocity,0.0,3.2
1.0,0.6127097573297672,70.0,0.48866823056869,3.25,0.7647312270237421,-0.42733505260547133,,,0.42733505260547133,0.0,0.0,radar_altimeter,0.0,3.25
