accepted,gate,huber_max_inflation,innovation_std,measurement_time_s,nis,residual_0,residual_1,residual_2,residual_norm,sensor_is_dropout,sensor_is_outlier,source,stale_s,time_s
1.0,55.0,1.456293202942476,9.118559606805942,0.0,0.9848335105007876,-1.7575444605908253,1.1682440300390908,-1.6986502594434398,2.709090132975043,0.0,0.0,gps_range_bearing_altitude,0.0,0.0
1.0,55.0,1.0,2.3470248220270253,0.0,0.13570393084369395,-0.8645973430255935,,,0.8645973430255935,0.0,0.0,barometer_altitude,0.0,0.0
1.0,55.0,1.0,2.0174148306093675,0.5,0.17219784157227255,0.8371611402751569,,,0.8371611402751569,0.0,0.0,barometer_altitude,0.0,0.5
1.0,55.0,3.822442225671324,5.277279973058928,0.6,0.43177958354904267,-0.31509309060323254,0.2211435664648136,-1.238471281117509,1.2969191366031725,0.0,0.0,doppler_velocity,0.050000000000000044,0.65
1.0,55.0,1.0,1.03370316320211,1.0,0.016919891248124437,0.1344604712140267,,,0.1344604712140267,0.0,0.0,barometer_altitude,0.0,1.0
1.0,55.0,1.0,0.7503172487191269,1.0,0.6208475539267195,-0.14559528617495943,0.14497933672246388,-0.2391112219192706,0.3152636545505691,0.0,0.0,doppler_velocity,0.050000000000000044,1.05
1.0,55.0,1.0,0.7462960436755993,1.0,0.6918837934045139,0.6207657085548846,,,0.6207657085548846,0.0,0.0,radar_altimeter,0.050000000000000044,1.05
1.0,55.0,1.0,0.6995757933542871,1.125,2.0997268843314005,1.0137157125313792,,,1.0137157125313792,0.0,0.0,radar_altimeter,0.02499999999999991,1.15
1.0,55.0,1.0,0.43731233312909107,1.2,0.5246658499567369,-0.008615975155437994,-0.13015177952054158,-0.1295016773236366,0.18380534586860658,0.0,0.0,doppler_velocity,0.0,1.2
1.0,55.0,1.0,0.6747165162785858,1.25,0.13768585190888388,0.2503606090201913,,,0.2503606090201913,0.0,0.0,radar_altimeter,0.0,1.25
1.0,55.0,1.0,0.6607740576521927,1.375,0.5665675185009678,0.4973691228305057,,,0.4973691228305057,0.0,0.0,radar_altimeter,0.02499999999999991,1.4
1.0,55.0,1.0,0.43693440515383536,1.4,0.2377985655461995,-0.08557412498899986,0.055172066668385256,0.06903345127349603,0.12301424796674516,0.0,0.0,doppler_velocity,0.050000000000000044,1.45
1.0,55.0,1.0,0.650758760130215,1.5,1.0739872140901303,-0.6744031320713475,,,0.6744031320713475,0.0,0.0,radar_altimeter,0.0,1.5
1.0,55.0,1.0,0.7851556077197361,1.5,0.8275517761970035,0.7142550578284812,,,0.7142550578284812,0.0,0.0,barometer_altitude,0.0,1.5
1.0,55.0,1.0,0.4119050671847364,1.6,1.212716281571223,0.1620491075994508,-0.14537337753609347,-0.1454356813701212,0.26181075147064026,0.0,0.0,doppler_velocity,0.0,1.6
1.0,55.0,1.0,0.6402075649284203,1.625,0.027762397679142164,0.1066717173649181,,,0.1066717173649181,0.0,0.0,radar_altimeter,0.02499999999999991,1.65
1.0,55.0,1.0,0.6363752522091235,1.75,0.1971909518324844,-0.28258998985204187,,,0.28258998985204187,0.0,0.0,radar_altimeter,0.050000000000000044,1.8
1.0,55.0,1.0827392136590939,0.42727871946968815,1.8,2.4754757215690115,0.3508075052255464,0.16608497494428853,-0.05944064725744602,0.3926618330971331,0.0,0.0,doppler_velocity,0.050000000000000044,1.85
1.0,55.0,1.0,0.6326577209808273,1.875,0.574360816396411,0.4794697523438174,,,0.4794697523438174,0.0,0.0,radar_altimeter,0.02499999999999991,1.9
1.0,55.0,1.0,0.400919613521609,2.0,1.122628101305868,-0.18919177069559368,-0.12946021950627484,0.08579676947302195,0.24477450885570953,0.0,0.0,doppler_velocity,0.0,2.0
