ax,ay,az,pitch_rad,px,py,pz,roll_rad,time_s,vx,vy,vz,yaw_rad
0.0,0.08,0.18,0.02849110833620022,0.0,0.0,90.0,0.008157548749343706,0.0,14.0,1.0,0.4,0.07130746478529032
0.000779994507511603,0.07999879000305021,0.18,0.029131207293577027,0.7000000000000001,0.050100000000000006,90.020225,0.008157425372203417,0.05,14.0,1.004,0.40900000000000003,0.07159172296528506
0.0015599560603712917,0.07999516004880314,0.18,0.02977117147860006,1.4000009749931346,0.10039999848750382,90.0409,0.008157055244513205,0.1,14.000038999725376,1.0079999395001524,0.41800000000000004,0.07187576572214521
0.002339851705319481,0.07998911024706463,0.18,0.03041099494187254,2.100004874924479,0.15089998941257243,90.06202499999999,0.008156438377464938,0.15,14.000116997528394,1.0119996975025927,0.42700000000000005,0.07215958207456487
0.003119648491881185,0.07998064078084074,0.18,0.031050671744359864,2.8000136496155306,0.2015999606755109,90.08359999999999,0.008155574789711349,0.2,14.00023399011366,1.015999153014946,0.43600000000000005,0.07244316105601901
0.0038993134737581705,0.07996975190633215,0.18,0.03169019595799359,3.5000292486818285,0.2524998941272342,90.10562499999999,0.008154464507365474,0.25,14.000389972538255,1.0199981850539879,0.44500000000000006,0.07272649171550477
0.004678813710220932,0.0799564439529265,0.18,0.03232956166627371,4.200053621450584,0.30359976556981655,90.12809999999999,0.008153107563999874,0.3,14.000584938211942,1.0239966726493044,0.45400000000000007,0.07300956311828066
0.005458116267500434,0.07994071732318837,0.18,0.0329687629648692,4.90008871687832,0.3548995447572229,90.15102499999999,0.008151504000645614,0.35,14.000818878897453,1.0279944948469506,0.4630000000000001,0.07329236434660374
0.006237188220179555,0.07992257249284711,0.18,0.03360779396221668,5.6001364834685265,0.40639919539622443,90.17439999999999,0.008149653865791027,0.4,14.001091784710828,1.03199153071311,0.4720000000000001,0.07357488450046473
0.007015996652584187,0.07990201001078244,0.18,0.03424664878011715,6.300198869189344,0.45809867514749597,90.198225,0.00814755721538026,0.45,14.001403644121838,1.0359876593377524,0.4810000000000001,0.07385711269832076
0.0077945086601739115,0.07987903049900788,0.18,0.03488532155433059,7.0002778213912515,0.5099979356268971,90.2225,0.008145214112811577,0.5,14.001754443954468,1.0399827598382916,0.4900000000000001,0.07413903807782588
0.008572691350932218,0.07985363465265191,0.18,0.035523806435168524,7.7003752867248005,0.5620969224069354,90.247225,0.008142624628935459,0.55,14.002144169387476,1.0439767113632419,0.4990000000000001,0.07442064979655895
0.009350511846756176,0.07982582323993694,0.18,0.03616209758808421,8.400493211058363,0.6143955750184134,90.2724,0.008139788842052458,0.6,14.002572803955022,1.0479693930958744,0.5080000000000001,0.07470193703274916
0.010127937284845543,0.0797955971021561,0.18,0.0368001891942606,9.100633539395924,0.666893826952257,90.29802500000001,0.008136706837910847,0.65,14.00304032954736,1.0519606842578713,0.5170000000000001,0.07498288898599861
0.010904934819091211,0.07976295715364774,0.18,0.03743807545119575,9.800798215794897,0.7195916056615282,90.32410000000002,0.008133378709704028,0.7,14.003546726411603,1.055950464112979,0.5260000000000001,0.07526349487800232
0.011681471621462932,0.07972790438176781,0.18,0.038075750573285834,10.500989183284002,0.7724888325636192,90.35062500000002,0.008129804558067723,0.75,14.004091973152557,1.0599386119706615,0.5350000000000001,0.07554374395326519
0.012457514883396326,0.07969043984686001,0.18,0.03871320879240537,11.201208383781156,0.8255854230426295,90.37760000000003,0.00812598449107695,0.8,14.00467604673363,1.06392500718975,0.5440000000000002,0.07582362547981603
0.013233031817179013,0.07965056468222365,0.18,0.03935044435848487,11.901457758011441,0.8788812864519255,90.40502500000002,0.00812191862424275,0.85,14.0052989224778,1.0679095291820928,0.5530000000000002,0.07610312874991855
0.014007989657335901,0.0796082800940794,0.18,0.0399874515400856,12.601739245425101,0.932376326116883,90.43290000000002,0.008117607080508717,0.9,14.00596057406866,1.071892057416204,0.5620000000000002,0.07638224308077901
0.01478235566201353,0.07956358736153285,0.18,0.04062422462497145,13.302054784115604,0.9860704393378108,90.46122500000001,0.008113049990247293,0.95,14.006660973551526,1.075872471420908,0.5710000000000002,0.07666095781525056
0.015556097114363383,0.07951648783653574,0.18,0.041260757920677876,14.002406310737758,1.0399635173930581,90.49000000000001,0.008108247491255827,1.0,14.007400091334626,1.0798506507889847,0.5800000000000002,0.07693926232253437
0.016329181323924205,0.07946698294384513,0.18,0.041897045755077654,14.702795760425882,1.094055445542303,90.519225,0.008103199728752434,1.05,14.008177896190343,1.0838264751808115,0.5890000000000002,0.07721714599887695
0.017101575628003136,0.07941507418098023,0.18,0.04253308247694357,15.403225066712054,1.1483461030300235,90.5489,0.00809790685537161,1.1,14.00899435525654,1.0877998243280038,0.5980000000000002,0.07749459826826414
0.017873247393055732,0.07936076311817716,0.18,0.043168862456507785,16.103696161444415,1.2028353630891497,90.579025,0.008092369031159632,1.15,14.00984943403794,1.0917705780370528,0.6070000000000002,0.07777160858311119
0.018644164016064706,0.07930405139834142,0.18,0.04380438008601795,16.80421097470555,1.2575230929449002,90.6096,0.008086586423569736,1.2,14.010743096407593,1.0957386161929616,0.6160000000000002,0.0780481664249491
0.019414292925917412,0.07924494073699824,0.18,0.044439629780289716,17.50477143473095,1.312409153818796,90.640625,0.008080559207457075,1.25,14.011675304608396,1.0997038187628787,0.6250000000000002,0.07832426130510714
0.020183601584781972,0.07918343292224057,0.18,0.04507460597725596,18.205379467827527,1.3674934009328614,90.6721,0.008074287565073427,1.3,14.012646019254692,1.1036660657997286,0.6340000000000002,0.07859988276539114
0.020952057489481986,0.07911952981467517,0.18,0.045709303138512264,18.906036998292244,1.4227756835140006,90.704025,0.00806777168606173,1.35,14.01365519933393,1.1076252374458406,0.6430000000000002,0.07887502037875797
0.021719628172869793,0.07905323334736614,0.18,0.04634371574985876,19.6067459483308,1.478255844798561,90.7364,0.008061011767450344,1.4,14.014702802208404,1.1115812139365744,0.6520000000000002,0.07914966374998561
0.022486281205198203,0.07898454552577656,0.18,0.046977838321838196,20.30750823797644,1.533933722037074,90.769225,0.008054008013647121,1.45,14.015788783617047,1.1155338756039428,0.6610000000000003,0.07942380251633906
0.02325198419549063,0.07891346842770781,0.18,0.04761166539027025,21.008325785008797,1.5898091464991781,90.80250000000001,0.008046760636433241,1.5,14.016913097677307,1.1194831028802317,0.6700000000000003,0.07969742634823175
0.024016704792909654,0.07884000420323668,0.18,0.04824519151678178,21.709200504872904,1.6458819434787244,90.83622500000001,0.00803926985495683,1.55,14.018075696887081,1.123428776301617,0.6790000000000003,0.07997052494988266
0.024780410688123783,0.07876415507465036,0.18,0.048878411289333214,22.41013431059825,1.7021519322990593,90.87040000000002,0.008031535895726347,1.6,14.019276532126726,1.1273707765117789,0.6880000000000003,0.08024308805996871
0.025543069614672547,0.0786859233363792,0.18,0.049511319322740804,23.111129112717947,1.7586189263184915,90.90502500000002,0.008023558992603763,1.65,14.020515552661132,1.1313089842655113,0.6970000000000003,0.08051510545227267
0.026304649350329754,0.07860531135492732,0.18,0.050143910259194714,23.81218681918802,1.8152827329359376,90.94010000000003,0.008015339386797516,1.7,14.021792706141866,1.1352432804323302,0.7060000000000003,0.08078656693632615
0.02706511771846485,0.078522321568801,0.18,0.05077617876877293,24.5133093353068,1.8721431535967477,90.97562500000004,0.008006877326855217,1.75,14.023107938609384,1.1391735460000767,0.7150000000000003,0.08105746235804792
0.027824442589402417,0.07843695648843496,0.18,0.05140811954995087,25.214498563634418,1.9291999837987126,91.01160000000003,0.007998173068656191,1.8,14.024461194495307,1.1430996620785168,0.7240000000000003,0.08132778160037732
0.028582591881779605,0.07834921869611637,0.18,0.05203972733010655,25.915756403912418,1.986453013098249,91.04802500000002,0.00798922687540373,1.85,14.025852416624778,1.1470215099029386,0.7330000000000003,0.08159751458390255
0.029339533563901593,0.07825911084590675,0.18,0.052670996866021405,26.61708475298351,2.043902025116766,91.08490000000002,0.007980039017617183,1.9,14.027281546218866,1.1509389708377444,0.7420000000000003,0.08186665126748408
0.030095235655094914,0.0781666356635617,0.18,0.05330192294437654,27.318485504711404,2.1015467975472104,91.12222500000001,0.007970609773123784,1.95,14.028748522897061,1.1548519263800399,0.7510000000000003,0.08213518164887273
0.030849666227058613,0.07807179594644845,0.18,0.05393250038224442,28.019960549900826,2.159387102160792,91.16000000000001,0.007960939427050288,2.0,14.030253284679816,1.158760258163218,0.7600000000000003,0.08240309576532268
0.03160279340521327,0.07797459456346117,0.18,0.05456272402757593,28.7215117762176,2.217422704813886,91.19822500000001,0.007951028271814367,2.05,14.031795767991168,1.1626638479605405,0.7690000000000003,0.08267038369419905
0.03235458537004762,0.07787503445493432,0.18,0.05519258875968265,29.423141068108915,2.2756533654551174,91.2369,0.007940876607115798,2.1,14.033375907661428,1.1665625776887134,0.7780000000000004,0.0829370355535801
0.03310501035846299,0.07777311863255358,0.18,0.055822089489714434,30.124850306723697,2.3340788381326214,91.276025,0.00793048473992743,2.15,14.034993636929931,1.17045632941146,0.7870000000000004,0.08320304150285412
0.03385403666511527,0.0776688501792648,0.18,0.056451221161132104,30.826641369833144,2.392698871001485,91.3156,0.007919852984485923,2.2,14.036648887447853,1.1743449853430876,0.7960000000000004,0.08346839174331055
0.03460163264375439,0.07756223224918075,0.18,0.05707997875017524,31.528516131751367,2.451513206331364,91.355625,0.00790898166228228,2.25,14.03834158928111,1.178228427852051,0.8050000000000004,0.08373307651872566
0.03534776670856149,0.07745326806748568,0.18,0.05770835726632501,32.230476463256224,2.510521580514278,91.3961,0.007897871102052145,2.3,14.040071670913298,1.18210653946451,0.8140000000000004,0.08399708611594246
0.036092407335483294,0.07734196093033777,0.18,0.05833635175276195,32.93252423151028,2.5697237240725883,91.437025,0.00788652163976591,2.35,14.041839059248726,1.1859792028678844,0.8230000000000004,0.08426041086544495
0.036835523063564114,0.07722831420476944,0.18,0.05896395728681872,33.63466129998188,2.6291193616671453,91.47840000000001,0.007874933618618562,2.4,14.043643679615501,1.1898463009144014,0.8320000000000004,0.08452304114192637
0.03757708249627496,0.07711233132858548,0.18,0.05959116898042759,34.336889528366484,2.6887082121056216,91.52022500000001,0.007863107389019354,2.45,14.045485455768679,1.19370771662464,0.8410000000000004,0.08478496736485183
0.03831705430284011,0.07699401581025904,0.18,0.06021798198056294,35.03921077250804,2.748489988351014,91.56250000000001,0.007851043308581232,2.5,14.047364309893492,1.1975633331910691,0.8500000000000004,0.08504617999901466
0.03905540721956084,0.07687337122882552,0.18,0.060844391469678245,35.741626884320596,2.8084643975303307,91.60522500000002,0.00783874174211005,2.55,14.049280162608634,1.201413033981582,0.8590000000000004,0.08530666955508708
0.03979211005113621,0.07675040123377432,0.18,0.06147039266613794,36.44413971171005,2.868631140943446,91.64840000000002,0.00782620306159358,2.6,14.051232932969612,1.2052567025430234,0.8680000000000004,0.08556642659016439
0.0405271316719812,0.07662510954493841,0.18,0.062095980824643904,37.1467510984961,2.9289899140721394,91.69202500000003,0.007813427646190285,2.65,14.053222538472168,1.209094222604712,0.8770000000000004,0.08582544170830345
0.041260441027541665,0.07649749995238184,0.18,0.06272115123665645,37.849462884334294,2.989540406589306,91.73610000000004,0.007800415882217896,2.7,14.055248895055767,1.212925478081959,0.8860000000000005,0.08608370556105457
0.041992007135606406,0.07636757631628502,0.18,0.06334589923080995,38.55227690463836,3.0502823023683443,91.78062500000004,0.0077871681631417515,2.75,14.057311917107144,1.216750353079578,0.8950000000000005,0.08634120884798738
0.0427217990876162,0.07623534256682805,0.18,0.06397022017332288,39.25519499050264,3.111215279492719,91.82560000000004,0.007773684889562948,2.8,14.059411517463925,1.2205687318953922,0.9040000000000005,0.08659794231721023
0.043449786049969616,0.07610080270407178,0.18,0.06459410946840237,39.95821896862469,3.1723390102656968,91.87102500000003,0.007759966469206249,2.85,14.061547607418305,1.2243804990237335,0.9130000000000005,0.0868538967658833
0.0441759372653258,0.07596396079783678,0.18,0.06521756255864314,40.66135066122817,3.2336531612202637,91.91690000000003,0.007746013316907792,2.9,14.063720096720804,1.2281855391589371,0.9220000000000005,0.08710906304072523
0.04490022205390391,0.0758248209875803,0.18,0.06584057492542078,41.364591885985796,3.295157393129208,91.96322500000002,0.007731825854602587,2.95,14.06592889358407,1.231983737198829,0.9310000000000005,0.08736343203851323
0.04562260981477937,0.07568338748227096,0.18,0.06646314208927938,42.067944455942566,3.356851361015384,92.01000000000002,0.007717404511311782,3.0,14.068173904686766,1.235774978248208,0.9400000000000005,0.08761699470657672
0.04634307002717676,0.07553966456026154,0.18,0.06708525961031338,42.77141017943917,3.4187347141621474,92.05722500000002,0.007702749723129733,3.05,14.070455035177504,1.2395591476223216,0.9490000000000005,0.08786974204328436
0.047061572251759255,0.07539365656915945,0.18,0.06770692308854377,43.47499086003558,3.4808070961239634,92.10490000000001,0.0076878619332108504,3.1,14.072772188678863,1.2433361308503346,0.9580000000000005,0.08812166509852434
0.04777808613191477,0.0752453679256953,0.18,0.06832812816428835,44.17868829643484,3.5430681447371914,92.15302500000001,0.007672741591756238,3.15,14.075125267291451,1.2471058136787925,0.9670000000000005,0.08837275497417817
0.04849258139503842,0.07509480311558925,0.18,0.06894887051852631,44.88250428240708,3.6055174921310384,92.20160000000001,0.007657389156000108,3.2,14.077514171598047,1.2508680820750773,0.9760000000000005,0.08862300282458756
0.04920502785381165,0.07494196669341531,0.18,0.06956914587325676,45.58644060671373,3.668154764738687,92.25062500000001,0.007641805090196002,3.25,14.079938800667799,1.2546228222308566,0.9850000000000005,0.0888723998570146
0.04991539540747756,0.0747868632824636,0.18,0.07018894999185155,46.29049905303194,3.7309795833085966,92.30010000000001,0.0076259898656027844,3.3,14.08239905206049,1.2583699205655274,0.9940000000000005,0.08912093733209515
0.05062365404311267,0.07462949757460048,0.18,0.070808278679402,46.99468139987922,3.793991562915976,92.35002500000002,0.00760994396047043,3.35,14.084894821830863,1.2621092637296507,1.0030000000000006,0.0893686065642853
0.05132977383689497,0.07446987433012663,0.18,0.07142712778305976,47.69898942053832,3.857190312974427,92.40040000000002,0.007593667860025604,3.4,14.087426004533018,1.2658407386083808,1.0120000000000005,0.08961539892230097
0.052033724955368225,0.07430799837763298,0.18,0.07204549319237169,48.40342488298227,3.9205754372477584,92.45122500000002,0.007577162056457019,3.45,14.089992493224862,1.269564232324887,1.0210000000000004,0.08986130582955057
0.05273547765670239,0.07414387461385478,0.18,0.0726633708396086,49.10798954979971,3.984146533861975,92.50250000000003,0.007560427048900602,3.5,14.09259417947263,1.2732796322437687,1.0300000000000002,0.09010631876456068
0.05343500229195023,0.07397750800352336,0.18,0.07328075670008805,49.81268517812042,4.0479031953174305,92.55422500000003,0.007543463343424432,3.55,14.095230953355466,1.2769868259744614,1.0390000000000001,0.09035042926139475
0.054132269306299954,0.073808903579216,0.18,0.0738976467924911,50.517513519541055,4.111845008501158,92.60640000000004,0.007526271453013483,3.6,14.097902703470064,1.2806857013746376,1.048,0.0905936289100647
0.05482724924032394,0.07363806644120367,0.18,0.07451403717917288,51.222476320051186,4.175971554699363,92.65902500000004,0.007508851897554137,3.65,14.10060931693538,1.2843761465535983,1.057,0.09083590935693549
0.05551991273122334,0.07346500175729678,0.18,0.07512992396646703,51.9275753199595,4.240282409610095,92.71210000000005,0.007491205203818525,3.7,14.103350679397396,1.2880580498756584,1.0659999999999998,0.0910772623051226
