accepted,gate,huber_max_inflation,innovation_std,measurement_time_s,nis,residual_0,residual_1,residual_2,residual_norm,sensor_is_dropout,sensor_is_outlier,source,stale_s,time_s
1.0,55.0,1.0620042145129631,5.969457034379204,0.0,0.057683334286425636,-1.4337056895925002,,,1.4337056895925002,0.0,0.0,barometer_altitude,0.0,0.0
1.0,55.0,1.384088875845262,6.010563097191987,0.0,0.02214526760025069,-0.44844479577386487,0.22161025731464745,-0.12938904066871323,0.516677234691928,0.0,0.0,doppler_velocity,0.0,0.0
1.0,55.0,1.0,4.2993873468280075,0.0,0.24528924310579656,2.1293439865112305,,,2.1293439865112305,0.0,0.0,gnss_pseudorange,0.0,0.0
1.0,55.0,1.3587682312469425,5.290353003172585,0.0,0.6924867780390435,-4.402409069240093,,,4.402409069240093,0.0,0.0,gnss_pseudorange,0.0,0.0
1.0,55.0,1.0,2.929084483028309,0.0,0.026195111527700304,0.4740695096552372,,,0.4740695096552372,0.0,0.0,gnss_pseudorange,0.0,0.0
1.0,55.0,1.0,2.6550505974354723,0.0,0.02825546863262055,-0.4462970942258835,,,0.4462970942258835,0.0,0.0,gnss_pseudorange,0.0,0.0
1.0,55.0,1.0,2.70797430637323,0.0,0.8407683894450448,-2.48303434625268,,,2.48303434625268,0.0,0.0,gnss_pseudorange,0.0,0.0
1.0,55.0,1.1323985698124228,1.0994113708161635,0.25,1.933506839049832,-1.5287380692467707,,,1.5287380692467707,0.0,0.0,barometer_altitude,0.0,0.25
1.0,55.0,1.0,0.5294545708597029,0.3333333333,0.15590513367381287,-0.05731219300797363,0.022603470081157484,-0.10045925979812932,0.11784594692343495,0.0,0.0,doppler_velocity,0.0166666667,0.35
1.0,55.0,1.0,0.9248684468441339,0.5,0.5577753263027334,0.6907320577311822,,,0.6907320577311822,0.0,0.0,barometer_altitude,0.0,0.5
1.0,55.0,1.0,0.49465031256914926,0.6666666667,1.1102049018960267,0.21426490794631547,-0.2097693831672256,-0.02809694807813882,0.30116786578734955,0.0,0.0,doppler_velocity,0.03333333329999999,0.7
1.0,55.0,1.1873479924067156,0.9936922466491559,0.75,2.6020748139141654,1.6029197897490661,,,1.6029197897490661,0.0,0.0,barometer_altitude,0.0,0.75
1.0,55.0,1.0,2.038794527895693,1.0,0.1601670505913937,-0.8159434273838997,,,0.8159434273838997,0.0,0.0,gnss_pseudorange,0.0,1.0
1.0,55.0,1.0,2.2172982899738023,1.0,0.023004058959824866,0.3362996056675911,,,0.3362996056675911,0.0,0.0,gnss_pseudorange,0.0,1.0
1.0,55.0,1.0,2.0889098176612566,1.0,0.0006641893835837695,-0.05383511632680893,,,0.05383511632680893,0.0,0.0,gnss_pseudorange,0.0,1.0
1.0,55.0,1.0,2.0097587453044525,1.0,0.3555578174239851,1.198392391204834,,,1.198392391204834,0.0,0.0,gnss_pseudorange,0.0,1.0
1.0,55.0,1.0,2.1298337404283902,1.0,1.140023535045603,2.2740636244416237,,,2.2740636244416237,0.0,0.0,gnss_pseudorange,0.0,1.0
1.0,55.0,1.0,0.8434196492959966,1.0,0.840653463168028,-0.773307492174709,,,0.773307492174709,0.0,0.0,barometer_altitude,0.0,1.0
1.0,55.0,1.0750819017657203,0.4745771008549736,1.0,2.8178553827458184,-0.220113279917161,0.21096212724948993,0.34832653617209336,0.46291062952925277,0.0,0.0,doppler_velocity,0.0,1.0
1.0,55.0,1.0,0.8264707633771661,1.25,0.14290779550497631,-0.31243196108360394,,,0.31243196108360394,0.0,0.0,barometer_altitude,0.0,1.25
1.0,55.0,1.0,0.46418025812390007,1.3333333333,1.8694846818154016,-0.21124657995629192,0.1890188443673162,0.2328153373399473,0.36681905944198046,0.0,0.0,doppler_velocity,0.016666666700000166,1.35
1.0,55.0,1.0,0.8146834449942691,1.5,0.20423041132973438,-0.3681705931651891,,,0.3681705931651891,0.0,0.0,barometer_altitude,0.0,1.5
1.0,55.0,1.402296965502657,0.49321845547064624,1.6666666667,4.687753749621973,0.45434421682286086,-0.20936336125307853,-0.3914572298605376,0.6352168505366113,0.0,0.0,doppler_velocity,0.03333333329999988,1.7
1.0,55.0,1.0,0.8068408203178684,1.75,0.44746256796338435,-0.5397171490375712,,,0.5397171490375712,0.0,0.0,barometer_altitude,0.0,1.75
1.0,55.0,1.0,0.8034085997351559,2.0,0.1976741252614626,0.3571999496193854,,,0.3571999496193854,0.0,0.0,barometer_altitude,0.0,2.0
1.0,55.0,1.2543800563831757,0.4548338835234289,2.0,2.1536454578747684,-0.0848117599998659,0.007561393616773104,0.40641913826814896,0.4152429713533119,0.0,0.0,doppler_velocity,0.0,2.0
