accepted,gate,huber_max_inflation,innovation_std,measurement_time_s,nis,residual_0,residual_1,residual_2,residual_norm,sensor_is_dropout,sensor_is_outlier,source,stale_s,time_s
1.0,70.0,1.0,6.008535595301072,0.0,0.056935447804720075,-1.4337056895925002,,,1.4337056895925002,0.0,0.0,barometer_altitude,0.0,0.0
1.0,70.0,1.384088875845262,6.010563097191987,0.0,0.02214526760025069,-0.44844479577386487,0.22161025731464745,-0.12938904066871323,0.516677234691928,0.0,0.0,doppler_velocity,0.0,0.0
1.0,70.0,1.0,4.329072207876437,0.0,0.2450921815423091,2.143184494227171,,,2.143184494227171,0.0,0.0,gnss_pseudorange,0.0,0.0
1.0,70.0,1.364261446589673,5.326492616457805,0.0,0.6886563785465777,-4.4202070869505405,,,4.4202070869505405,0.0,0.0,gnss_pseudorange,0.0,0.0
1.0,70.0,1.0,2.9861975858122056,0.0,0.029537617136642824,0.513223186135292,,,0.513223186135292,0.0,0.0,gnss_pseudorange,0.0,0.0
1.0,70.0,1.0,2.7645058081286593,0.0,0.023690928849458195,-0.4255088046193123,,,0.4255088046193123,0.0,0.0,gnss_pseudorange,0.0,0.0
1.0,70.0,1.0,2.715602260304019,0.0,0.8466456016284973,-2.498716529458761,,,2.498716529458761,0.0,0.0,gnss_pseudorange,0.0,0.0
1.0,70.0,1.0,1.3503892528886547,0.25,1.286756865792419,-1.5318181818369254,,,1.5318181818369254,0.0,0.0,barometer_altitude,0.0,0.25
1.0,70.0,1.0,0.5365703327567729,0.3333333333,0.16102837029424868,-0.05731219300797363,0.022603470081157484,-0.10445335084670926,0.12126873805807803,0.0,0.0,doppler_velocity,0.0166666667,0.35
1.0,70.0,1.0,1.241160683862474,0.5,0.2975482534102878,0.6770281284760529,,,0.6770281284760529,0.0,0.0,barometer_altitude,0.0,0.5
1.0,70.0,1.0,0.5024582204983739,0.6666666667,1.0760446216293145,0.21442010628725683,-0.20988034869045125,-0.0256381677281744,0.30113627876946664,0.0,0.0,doppler_velocity,0.03333333329999999,0.7
1.0,70.0,1.0,1.1907251783214,0.75,1.8819501020720772,1.6334866491162359,,,1.6334866491162359,0.0,0.0,barometer_altitude,0.0,0.75
1.0,70.0,1.0,2.055231187359107,1.0,0.15209030817117972,-0.8015146255493164,,,0.8015146255493164,0.0,0.0,gnss_pseudorange,0.0,1.0
1.0,70.0,1.0,2.22837475527694,1.0,0.02584343531218093,0.35823115333914757,,,0.35823115333914757,0.0,0.0,gnss_pseudorange,0.0,1.0
1.0,70.0,1.0,2.094053612250384,1.0,0.0003838642755521314,-0.041027650237083435,,,0.041027650237083435,0.0,0.0,gnss_pseudorange,0.0,1.0
1.0,70.0,1.0,2.019835477242487,1.0,0.362465141638155,1.2160435244441032,,,1.2160435244441032,0.0,0.0,gnss_pseudorange,0.0,1.0
1.0,70.0,1.0,2.1311638108738333,1.0,1.13670700991143,2.2721714675426483,,,2.2721714675426483,0.0,0.0,gnss_pseudorange,0.0,1.0
1.0,70.0,1.0,1.150848134096523,1.0,0.4730598514430683,-0.7915458266307809,,,0.7915458266307809,0.0,0.0,barometer_altitude,0.0,1.0
1.0,70.0,1.066716334932758,0.48131614922435584,1.0,2.7332576703885962,-0.22137935797699626,0.2120494467941909,0.34561609251821357,0.461978648242089,0.0,0.0,doppler_velocity,0.0,1.0
1.0,70.0,1.0,1.1358063019840714,1.25,0.10120819705234035,-0.36133673680600964,,,0.36133673680600964,0.0,0.0,barometer_altitude,0.0,1.25
1.0,70.0,1.0,0.4734732780758172,1.3333333333,1.7066896436740886,-0.20876941777624936,0.18608396955544104,0.22259165078815968,0.35743384915917303,0.0,0.0,doppler_velocity,0.016666666700000166,1.35
1.0,70.0,1.0,1.1245842836050426,1.5,0.1395123475933209,-0.4200474312508078,,,0.4200474312508078,0.0,0.0,barometer_altitude,0.0,1.5
1.0,70.0,1.4122310243271463,0.5060909744275695,1.6666666667,4.584575795904693,0.4575628518819954,-0.2135237382046653,-0.40019407397108697,0.6442914302090749,0.0,0.0,doppler_velocity,0.03333333329999988,1.7
