bax,bax_error,bay,bay_error,baz,baz_error,covariance_trace,filter,nees_position,pos_error_m,profile,px,py,pz,sigma_pos_m,sigma_velocity_mps,time_s,velocity_error_mps,vx,vy,vz,yaw_error_rad,yaw_est_rad
0.0,-0.035,0.0,0.025,0.0,-0.02,4.913501394014095,adaptive,0.7231542269698491,1.1981559220824352,nominal,39.42750172397476,-28.95052629528543,115.08017655942989,2.089632294767223,0.3113491074019068,0.0,0.09444759222727915,15.952762744815132,1.2210135208084645,0.020959369034892567,0.0015305271312127111,0.07639037484197966
0.0,-0.035061283569343356,0.0,0.024892374222717933,0.0,-0.019822449406967473,4.915112932180801,adaptive,0.7251458528704455,1.1999953415353344,nominal,40.22524739673729,-28.88901870341945,115.08132766646334,2.0896904861727337,0.31353830177502073,0.05,0.09047727171947789,15.957064165686253,1.239290153830773,0.025084912303083864,0.001589428785705227,0.07750845911618261
0.0,-0.035113728587215134,0.0,0.02486561911828236,0.0,-0.01985288907156695,4.919469613775175,adaptive,0.7272130039413861,1.201886758290231,nominal,41.02332140038448,-28.826596864887772,115.0826029488114,2.089867142009621,0.31925580264689624,0.1,0.08712380327399098,15.965895980201362,1.257583387436301,0.025926381619039894,0.0016285370766704332,0.0786045615143163
0.0,-0.034808956156309995,0.0,0.024927192970905735,0.0,-0.019742833670347893,4.92659796799211,adaptive,0.7293009524099211,1.2038160932953785,nominal,41.8217974929208,-28.76323502580691,115.08392569437984,2.090168578032259,0.3283173326200034,0.15,0.08501564166891967,15.973147721251527,1.2768901757982205,0.026983441119023732,0.001739460667444792,0.07977016462246324
0.0,-0.034809406137570956,0.0,0.025012730296355774,0.0,-0.01986814229040213,4.936541399045476,adaptive,0.7313381786551719,1.205728945474572,nominal,42.620680076475246,-28.698995590568117,115.08526402133766,2.0906051206655483,0.34045598613104733,0.2,0.08245502960953709,15.982155620926207,1.2926872337536353,0.02654963719381931,0.0016245230954630152,0.08070746658053801
7.183921944659711e-17,-0.03472987600538431,-4.931419789160467e-18,0.024811477813043433,0.007218924525368474,-0.012783889507001602,4.745623968074902,adaptive,2.2258099879593702,1.2667726579190133,nominal,43.33946800474777,-28.797468702348144,114.41702657811089,2.041923741758612,0.35523477478837767,0.25,0.09045211508672053,15.99051903271728,1.3112142089814511,0.015011104722783422,0.0016838114562252038,0.08181642980123556
7.183921944659711e-17,-0.034828966920869404,-4.931419789160467e-18,0.02460711456634293,0.007218924525368474,-0.012749182853654109,4.760980456304241,adaptive,2.2427940306951863,1.270380767128753,nominal,44.13922397839115,-28.731598077930276,114.41784640180174,2.042595192039609,0.37256589291352515,0.3,0.0849069947244344,15.99971991301783,1.3236107677332414,0.01778184291097133,0.0013595657528888694,0.08253917035416271
0.03527764603198234,0.0004549629345954667,-0.014185499417120244,0.010333072728524845,0.06859574704814919,0.04841130722649606,4.580018848344551,adaptive,2.3421390003879177,1.2880672031929181,nominal,44.930231437326164,-28.659923693263725,114.40655998565205,2.041892067133217,0.24400719917262567,0.35,0.15496502945526902,15.974881959540292,1.3506618907457757,-0.044870265397984346,0.002124712702813447,0.0843484918064634
0.03527764603198234,0.00027187438919137885,-0.014185499417120244,0.01002346856946706,0.06859574704814919,0.048656566750955296,4.588932463925552,adaptive,2.378459311779137,1.294279836093383,nominal,45.72901319597476,-28.592004837436917,114.40427313066508,2.0423062877005314,0.2583815635247716,0.4,0.15830902323307602,15.976388386403409,1.3660923423265734,-0.04660393408094471,0.002034453165607797,0.08529947268446379
0.03527764603198234,0.00013615530729913644,-0.014185499417120244,0.01005325941267412,0.06859574704814919,0.04847947594247424,4.599957010613219,adaptive,2.4144555030238513,1.3004382264279835,nominal,46.52814371088662,-28.523411788077315,114.40185670047047,2.0428073529819772,0.27520598274940605,0.45,0.15759793457317015,15.988832210070981,1.3776296320574948,-0.05005327370282692,0.0016465133029912593,0.08594971766663038
