accepted,gate,innovation_std,measurement_time_s,nis,residual_0,residual_1,residual_2,residual_norm,sensor_is_dropout,sensor_is_outlier,source,stale_s,time_s
1.0,55.0,9.11868411559475,0.0,0.8791815443517338,-1.3522869859131923,1.106380807190388,1.8452093085948604,2.541172165618568,0.0,0.0,gps_range_bearing_altitude,0.0,0.0
1.0,55.0,2.3470248220270253,0.0,1.8858920701216746,-3.2231172158640646,,,3.2231172158640646,0.0,0.0,barometer_altitude,0.0,0.0
1.0,55.0,1.244035234563151,0.2,0.747886615754892,-1.0758471197876247,,,1.0758471197876247,0.0,0.0,barometer_altitude,0.0,0.2
1.0,55.0,1.2653765500513163,0.4,2.7207253357494476,2.0871907061912367,,,2.0871907061912367,0.0,0.0,barometer_altitude,0.0,0.4
1.0,55.0,1.2064432589767675,0.6,1.0650636611277333,-1.2450726256548847,,,1.2450726256548847,0.0,0.0,barometer_altitude,0.0,0.6
1.0,55.0,1.1258836964267138,0.8,0.21792612333137176,-0.5255913110307944,,,0.5255913110307944,0.0,0.0,barometer_altitude,0.0,0.8
1.0,55.0,5.3948439245277475,1.0,4.250177284166573,-6.512293702116317,-0.14602101755676422,3.387023977231337,7.341881422532792,0.0,0.0,gps_range_bearing_altitude,0.0,1.0
1.0,55.0,1.0369946742543155,1.0,0.2295098557841288,-0.49679497686466334,,,0.49679497686466334,0.0,0.0,barometer_altitude,0.0,1.0
1.0,55.0,1.0026674993367781,1.2,0.1217794695228162,-0.34990002766421924,,,0.34990002766421924,0.0,0.0,barometer_altitude,0.0,1.2
1.0,55.0,0.973638236684276,1.4,0.003691826586642415,-0.05915865174867463,,,0.05915865174867463,0.0,0.0,barometer_altitude,0.0,1.4
1.0,55.0,0.950873010959995,1.6,0.115134524060659,0.32264527231454565,,,0.32264527231454565,0.0,0.0,barometer_altitude,0.0,1.6
1.0,55.0,0.9337235267814732,1.8,1.8730934599583913,1.2779033996035878,,,1.2779033996035878,0.0,0.0,barometer_altitude,0.0,1.8
1.0,55.0,5.305524291203057,2.0,2.092885417227209,1.3430445291349002,0.07120825625926441,-3.224550563016166,3.493789569571491,0.0,0.0,gps_range_bearing_altitude,0.0,2.0
1.0,55.0,0.9139066414113277,2.0,0.07497794439289095,-0.25024683772033995,,,0.25024683772033995,0.0,0.0,barometer_altitude,0.0,2.0
1.0,55.0,0.9080968168727951,2.2,0.12084943456400134,-0.3156853766508476,,,0.3156853766508476,0.0,0.0,barometer_altitude,0.0,2.2
1.0,55.0,0.9044427527020639,2.4,0.0008412480337947479,-0.0262327073426718,,,0.0262327073426718,0.0,0.0,barometer_altitude,0.0,2.4
1.0,55.0,0.9025449698207403,2.6,0.3563005127216607,-0.5387373351743179,,,0.5387373351743179,0.0,0.0,barometer_altitude,0.0,2.6
1.0,55.0,0.9018740302370981,2.8,0.3960953723694924,-0.5676044160947669,,,0.5676044160947669,0.0,0.0,barometer_altitude,0.0,2.8
1.0,55.0,4.839750769399392,3.0,4.577064771155409,5.952653555631208,0.10557720299380113,2.0904520479670055,6.3099303216446305,0.0,0.0,gps_range_bearing_altitude,0.0,3.0
1.0,55.0,0.8960415641155225,3.0,0.0015781544838193795,0.035596140497574424,,,0.035596140497574424,0.0,0.0,barometer_altitude,0.0,3.0
1.0,55.0,0.8979988453662278,3.2,0.908206281691488,0.8557916189206196,,,0.8557916189206196,0.0,0.0,barometer_altitude,0.0,3.2
1.0,55.0,0.8992622520068686,3.4,0.014430618793757118,-0.10802613567571484,,,0.10802613567571484,0.0,0.0,barometer_altitude,0.0,3.4
