accepted,gate,innovation_std,measurement_time_s,nis,residual_0,residual_1,residual_2,residual_norm,sensor_is_dropout,sensor_is_outlier,source,stale_s,time_s
1.0,70.0,9.474175425861608,0.0,0.8144418124494698,-1.3522869859131923,1.106380807190388,1.8452093085948604,2.541172165618568,0.0,0.0,gps_range_bearing_altitude,0.0,0.0
1.0,70.0,2.8742983333486642,0.0,1.1680550769476188,-3.106443819712169,,,3.106443819712169,0.0,0.0,barometer_altitude,0.0,0.0
1.0,70.0,1.5930942077341212,0.2,0.5313550296069068,-1.161271737469292,,,1.161271737469292,0.0,0.0,barometer_altitude,0.0,0.2
1.0,70.0,1.5915538234601059,0.4,1.365309709518809,1.8596744297889387,,,1.8596744297889387,0.0,0.0,barometer_altitude,0.0,0.4
1.0,70.0,1.5797401803250073,0.6,0.4522821719778512,-1.0624057169215035,,,1.0624057169215035,0.0,0.0,barometer_altitude,0.0,0.6
1.0,70.0,1.521530449001812,0.8,0.10364823432957254,-0.4898482964259472,,,0.4898482964259472,0.0,0.0,barometer_altitude,0.0,0.8
1.0,70.0,6.185963031172475,1.0,2.9526320790606304,-6.334967905655148,-0.1332786259318346,3.396275579373011,7.18917723865927,0.0,0.0,gps_range_bearing_altitude,0.0,1.0
1.0,70.0,1.4207592298197398,1.0,0.1400302679739309,-0.5316568894510709,,,0.5316568894510709,0.0,0.0,barometer_altitude,0.0,1.0
1.0,70.0,1.3848837277767136,1.2,0.07576267598709595,-0.38118953156804025,,,0.38118953156804025,0.0,0.0,barometer_altitude,0.0,1.2
1.0,70.0,1.3500727460517925,1.4,0.0037476576829704854,-0.08264890949526205,,,0.08264890949526205,0.0,0.0,barometer_altitude,0.0,1.4
1.0,70.0,1.3203285153481374,1.6,0.054714841507047786,0.3088407338143355,,,0.3088407338143355,0.0,0.0,barometer_altitude,0.0,1.6
1.0,70.0,1.2962274964696034,1.8,0.9690002341632894,1.2759779538242952,,,1.2759779538242952,0.0,0.0,barometer_altitude,0.0,1.8
1.0,70.0,6.289356518994164,2.0,1.1754144963091324,0.38085137311396977,0.04640652319794114,-3.1997670609339792,3.2226868569620897,0.0,0.0,gps_range_bearing_altitude,0.0,2.0
1.0,70.0,1.2657496960748569,2.0,0.02509419922874147,-0.2005092915857034,,,0.2005092915857034,0.0,0.0,barometer_altitude,0.0,2.0
1.0,70.0,1.2554898513797925,2.2,0.04790822320253852,-0.2748009555979678,,,0.2748009555979678,0.0,0.0,barometer_altitude,0.0,2.2
1.0,70.0,1.2475488080996058,2.4,4.919208961367732e-06,0.0027669746557421604,,,0.0027669746557421604,0.0,0.0,barometer_altitude,0.0,2.4
1.0,70.0,1.2418576111461366,2.6,0.17165234284086037,-0.5145133775455548,,,0.5145133775455548,0.0,0.0,barometer_altitude,0.0,2.6
1.0,70.0,1.2381451527618983,2.8,0.20975082743559992,-0.5670526745033584,,,0.5670526745033584,0.0,0.0,barometer_altitude,0.0,2.8
1.0,70.0,5.912335845137006,3.0,2.711582920950815,5.513698572574178,0.09732240043628115,2.062922761965126,5.887783447161337,0.0,0.0,gps_range_bearing_altitude,0.0,3.0
1.0,70.0,1.2282359603248383,3.0,3.31252034927387e-06,0.0022354300565723406,,,0.0022354300565723406,0.0,0.0,barometer_altitude,0.0,3.0
1.0,70.0,1.2294712002225159,3.2,0.4464446123226015,0.8214897579916283,,,0.8214897579916283,0.0,0.0,barometer_altitude,0.0,3.2
1.0,70.0,1.230891175672386,3.4,0.007378375560480511,-0.10573043932645021,,,0.10573043932645021,0.0,0.0,barometer_altitude,0.0,3.4
1.0,70.0,1.2321439162379364,3.6,0.19772151444614025,0.5478837267040007,,,0.5478837267040007,0.0,0.0,barometer_altitude,0.0,3.6
1.0,70.0,1.2329482069573348,3.8,0.9137454826185049,1.1785756248120975,,,1.1785756248120975,0.0,0.0,barometer_altitude,0.0,3.8
1.0,70.0,5.6087339665944,4.0,0.14860670252420152,0.3475400555373511,-0.021234456813346014,0.4787938579520983,0.5920122893755813,0.0,0.0,gps_range_bearing_altitude,0.0,4.0
1.0,70.0,1.225572253370371,4.0,0.005137327694323361,-0.08784307994201868,,,0.08784307994201868,0.0,0.0,barometer_altitude,0.0,4.0
1.0,70.0,1.227124934460426,4.2,0.12256257608549476,-0.4296034111624607,,,0.4296034111624607,0.0,0.0,barometer_altitude,0.0,4.2
1.0,70.0,1.2275108232132543,4.4,0.05617444566783834,0.2909341673255881,,,0.2909341673255881,0.0,0.0,barometer_altitude,0.0,4.4
1.0,70.0,1.2268399160167096,4.6,1.6360674347711783,-1.5692368489899877,,,1.5692368489899877,0.0,0.0,barometer_altitude,0.0,4.6
1.0,70.0,1.22527683863215,4.8,0.6080645249809014,-0.9554524043572883,,,0.9554524043572883,0.0,0.0,barometer_altitude,0.0,4.8
1.0,70.0,5.444569678731219,5.0,1.517083992582235,-4.741556054497707,-0.010366642460453157,1.8334893217427037,5.083713640456579,0.0,0.0,gps_range_bearing_altitude,0.0,5.0
1.0,70.0,1.2162552449790598,5.0,0.004047709824390504,-0.07738012226087676,,,0.07738012226087676,0.0,0.0,barometer_altitude,0.0,5.0
1.0,70.0,1.2152897312543107,5.2,0.2673732154518297,0.6284037640889153,,,0.6284037640889153,0.0,0.0,barometer_altitude,0.0,5.2
1.0,70.0,1.21351186932311,5.4,0.0035225027789192865,-0.0720227501592916,,,0.0720227501592916,0.0,0.0,barometer_altitude,0.0,5.4
1.0,70.0,1.2111301264041023,5.6,0.2313156631710473,-0.582496510249868,,,0.582496510249868,0.0,0.0,barometer_altitude,0.0,5.6
1.0,70.0,1.2083243433541586,5.8,0.19074994233890208,-0.5277347990820118,,,0.5277347990820118,0.0,0.0,barometer_altitude,0.0,5.8
1.0,70.0,5.376942761265871,6.0,1.7886094750455142,0.7685524481058224,0.05027668529650331,1.080195544472403,1.3266585939388806,0.0,0.0,gps_range_bearing_altitude,0.0,6.0
