bax,bax_error,bay,bay_error,baz,baz_error,covariance_trace,filter,nees_position,pos_error_m,profile,px,py,pz,sigma_pos_m,sigma_velocity_mps,time_s,velocity_error_mps,vx,vy,vz,yaw_error_rad,yaw_est_rad
0.0,-0.035,0.0,0.025,0.0,-0.02,46.84711165773935,ekf,7.6133395878098105,6.11038440806127,nominal,5.921146936933791,1.4968434668996897,120.19046312272346,3.2244552497653536,6.0,0.0,0.5787918451395112,18.5,1.25,0.35,-0.01567620736653641,0.06746502452190475
0.0,-0.035020710582094224,0.0,0.024976255978665023,0.0,-0.019976693477099974,46.938480850239365,ekf,7.6214532945444375,6.131825296280519,nominal,6.846343389452915,1.5596465528295347,120.2079124379295,3.238381156185812,6.000113998917021,0.05,0.582726801646313,18.507858100764974,1.262123437193796,0.34797260824165105,-0.015990270499958825,0.06808850635378913
0.0,-0.03498235722168121,0.0,0.024941346661422194,0.0,-0.020155300019536016,47.21211049483367,ekf,7.533280207565373,6.153372703309001,nominal,7.771939687115065,1.6231342336693382,120.22523085825974,3.2798054544423647,6.000415485684619,0.1,0.5849879013530035,18.515993805721003,1.277383796398346,0.34476420496754107,-0.01613535649073805,0.06887899544704028
0.0,-0.035095630697106334,0.0,0.02502173050982493,0.0,-0.02040512711988954,47.6680271207171,ekf,7.360193260307607,6.1750736504685815,nominal,8.697990842596328,1.6873274441548032,120.24241351133719,3.3477114726329584,6.000904432185099,0.15,0.5899271681297068,18.526052413529523,1.290344623020258,0.34254191813077184,-0.016409878158310853,0.06953797227176986
-3.679942415397396e-16,-0.03514534540634207,2.2122645645988437e-17,0.02504776971505993,0.0020854834096775904,-0.018267380891417398,43.95542655914761,ekf,7.6710321119844505,6.210397281681077,nominal,9.624486419197067,1.7522478270262514,119.57470050405003,3.3481682454775163,5.6828866278062,0.2,1.6242924134722778,18.533770650500042,1.306470691837661,-1.3271123480646376,-0.016504217633432017,0.07037494854733717
-3.679942415397396e-16,-0.03516875427525356,2.2122645645988437e-17,0.02485852680723601,0.0020854834096775904,-0.018268985000879187,44.61347485512878,ekf,7.407454692312208,6.238141332294449,nominal,10.551374584601815,1.817946533918218,119.50827803744421,3.4435992667916615,5.683757830234819,0.25,1.6262190253714977,18.541755965689834,1.321477583841007,-1.3297863161680734,-0.01665814102134755,0.071150052606352
-3.679942415397396e-16,-0.03514169790270118,2.2122645645988437e-17,0.024809393034108243,0.0020854834096775904,-0.01836726962242899,45.43535904477783,ekf,7.071932033853488,6.26693114304028,nominal,11.478765765007843,1.8843771199714046,119.44174758985196,3.559228446675374,5.684826795912919,0.3,1.6286804282124336,18.553891250551295,1.3357458582864623,-1.3314315875227085,-0.01686605994449719,0.07186876787883022
-3.679942415397396e-16,-0.0348458273629742,2.2122645645988437e-17,0.024820009368709796,0.0020854834096775904,-0.017951728019988726,46.421169666984234,ekf,6.69955468295627,6.296747850281078,nominal,12.406656812281971,1.9515757667179874,119.37513427903916,3.693171376114472,5.686093413452497,0.35,1.6295272119826045,18.561750640413837,1.3522000115768453,-1.3331008449891155,-0.016938690833941283,0.0727202736272754
-5.204242093769072e-17,-0.03504635378170717,-1.1914087348211704e-17,0.024981121969472674,-0.009854348900065694,-0.029785017244642793,42.89511250173754,ekf,6.682456845475311,6.30777994453639,nominal,13.33496673192341,2.0194747656076575,120.66244854560122,3.754852873547278,5.324119449521157,0.4,1.872728685073136,18.57064614524373,1.3637599440099273,1.9673469840493922,-0.01727576412970455,0.0733047357724917
-5.204242093769072e-17,-0.03477832853701556,-1.1914087348211704e-17,0.024792563936148565,-0.009854348900065694,-0.029945285081523568,44.03343375689885,ekf,6.362470611302674,6.338637482932926,nominal,14.263691925524615,2.0880962093342874,120.76082544755016,3.901254500260276,5.3257583738483625,0.45,1.8737628701712752,18.57836159880448,1.3810978050552714,1.9677290939078553,-0.017296765896923638,0.07420256530321759
-5.204242093769072e-17,-0.03471791648350435,-1.1914087348211704e-17,0.02484806127662349,-0.009854348900065694,-0.02982736425550211,45.31600316273964,ekf,6.0271620089348055,6.370753899399445,nominal,15.19286197352612,2.157506609310352,120.85925535385073,4.059883209775461,5.327607936376428,0.5,1.876982272943162,18.588440321255735,1.3953181939873178,1.969467158114787,-0.01749210691673353,0.07492324921063503
-5.204242093769072e-17,-0.03473622399514546,-1.1914087348211704e-17,0.024995808204259742,-0.009854348900065694,-0.029826081353339477,46.74296789395194,ekf,5.692866027710516,6.404159322619475,nominal,16.1225364896252,2.2276545959993763,120.95781567819729,4.229380838685221,5.329667917969411,0.55,1.881490200125708,18.598540322707464,1.410601273573645,1.972945815747451,-0.017628673396231864,0.07569979980339935
3.703626223787173e-16,-0.034601094214664015,-1.132741267627196e-17,0.024860621460359163,0.0024548060971701976,-0.017529946643111513,45.656597115442146,ekf,4.467925880939383,6.372084215212379,nominal,17.05271650786019,2.2986003100813823,120.29266768279504,4.345928134438784,5.130273110481971,0.6,0.6600633259861415,18.608660406692014,1.4272272897065912,0.4779784112382226,-0.017691502141776727,0.07654707955892218
3.703626223787173e-16,-0.03431843383740018,-1.132741267627196e-17,0.024858736282487342,0.0024548060971701976,-0.017218642060793488,47.25831353684219,ekf,4.164978543922963,6.394972290586372,nominal,17.983373739341165,2.370259852776205,120.31640820073525,4.52372490531401,5.13268181390418,0.65,0.6597342931943176,18.617628852546986,1.4391544180863294,0.4716423063702731,-0.017998370252491735,0.07714721145401646
3.703626223787173e-16,-0.03427720313240014,-1.132741267627196e-17,0.025087266452682083,0.0024548060971701976,-0.017298559985271127,48.99436088757692,ekf,3.882444592987005,6.417957233437787,nominal,18.914534840391315,2.4426276531512787,120.33992989689592,4.708838986290869,5.135308368166695,0.7,0.6606911442795245,18.628815189459036,1.455557596916621,0.46922554005613526,-0.018073061208710328,0.07797631290016656
3.703626223787173e-16,-0.034364805949171934,-1.132741267627196e-17,0.02508738251793025,0.0024548060971701976,-0.01751084391688805,50.864940832585134,ekf,3.620863421368354,6.441132031095648,nominal,19.846272842962335,2.5158336091896105,120.36347365405476,4.900461789721622,5.138152439346488,0.75,0.6640843959681334,18.640704913381672,1.4726806446166434,0.47252474629713265,-0.018110131247965455,0.0788397293907945
3.0102151970490146e-16,-0.034292507390088274,-1.3995117440989192e-17,0.025068540218453107,0.010441716293087377,-0.009395996361297745,51.48085426280598,ekf,3.311826628452827,6.460477324670737,nominal,20.77860142729875,2.5898806242067125,120.09474107368183,5.059265480758488,5.043329738144784,0.8,0.6277365757544942,18.65243846007482,1.489199956067434,0.006538833255727128,-0.018176514356820217,0.07967042953222345
3.0102151970490146e-16,-0.03426099257719335,-1.3995117440989192e-17,0.024884378158401593,0.010441716293087377,-0.009256504801080902,53.55441113836145,ekf,3.094395133295663,6.483483662707143,nominal,21.71141131840717,2.6647689990286088,120.09504834455936,5.257158569208808,5.046501993331603,0.85,0.6261626825695643,18.659957184261955,1.5063350368084296,0.005752001845079569,-0.018189661686219605,0.0805508656506418
3.0102151970490146e-16,-0.03412204439850544,-1.3995117440989192e-17,0.02506270876903369,0.010441716293087377,-0.009247328239122388,55.75815443681029,ekf,2.8945979904104786,6.506505161466682,nominal,22.64468666292785,2.7404351234718374,120.09545489880152,5.459597430197086,5.049894796096216,0.9,0.6273043053106668,18.671056596565148,1.5203099409207141,0.010510167841702956,-0.018383733676860636,0.08124678168856364
3.0102151970490146e-16,-0.03404259815796777,-1.3995117440989192e-17,0.025073238790204795,0.010441716293087377,-0.0094222584148211,58.09234046546314,ekf,2.7113559273556262,6.5297477377035165,nominal,23.578649719247736,2.8168773349822622,120.09596673456252,5.666117466523672,5.053507702394692,0.95,0.6327992917624627,18.687465656230437,1.5373785194962666,0.009963262598452122,-0.018433761755648703,0.0820830515297034
0.019933145226246944,-0.014234729173588985,0.01432149973077689,0.03949951138752092,0.0075919483324085515,-0.012282587233185144,21.545240089153623,ekf,1.8158918078421018,2.7925855213303508,nominal,19.999462589150188,-0.3490123995280196,120.1611682987964,2.978386892787261,3.4965705291939773,1.0,3.7323496121942856,15.492158978429531,-0.7532076473884127,0.0988842817347027,-0.1499797103980849,-0.048580383042589326
0.019933145226246944,-0.01434149247362456,0.01432149973077689,0.0394768227529489,0.0075919483324085515,-0.012445801101008147,22.254800200491353,ekf,1.7009625908367867,2.801021994929078,nominal,20.77432306679545,-0.3863254652074898,120.16610954705735,3.090154643110681,3.5010424168030343,1.05,3.735291569086952,15.502260127380927,-0.739314979790394,0.09876564870314557,-0.14993264452701016,-0.04765467972376841
0.019933145226246944,-0.014550510304707658,0.01432149973077689,0.03946335825288346,0.0075919483324085515,-0.012608081711354387,23.02821652459019,ekf,1.6058177632167299,2.8219204103249123,nominal,21.549750607285077,-0.4228992571706009,120.17109359668204,3.207637282294464,3.505828400596065,1.1,3.735323120538529,15.514841492204088,-0.7236366987340511,0.10059633628475267,-0.1497604345736696,-0.04660780072937414
0.019933145226246944,-0.014474460359535847,0.01432149973077689,0.039669863463220406,0.0075919483324085515,-0.012534123839125175,23.865739966415006,ekf,1.5281104654832192,2.8550241747812466,nominal,22.32575104805194,-0.4587423078849431,120.17615134626219,3.330267712314589,3.510927196315973,1.15,3.73862205744461,15.525176138470687,-0.7100853298396432,0.10171364692091173,-0.14972905685951154,-0.045705813157592076
0.01993314522624683,-0.014617637002897015,0.014321499730776857,0.03988355461331029,0.01823851955226266,-0.002118720376664787,24.306977625252998,ekf,1.6233232135173645,2.906539791992975,nominal,23.102359507291897,-0.49389225927184544,120.02712155103875,3.429211961012088,3.478500573219817,1.2,3.7477713382611726,15.539162231127522,-0.6959127256364477,-0.07734984782854909,-0.14964424304711965,-0.04475453842148174
