accepted,gate,innovation_std,measurement_time_s,nis,residual_0,residual_1,residual_2,residual_3,residual_4,residual_5,residual_norm,sensor_is_dropout,sensor_is_outlier,source,stale_s,time_s
1.0,80.0,13.124374270798588,0.0,0.5766919418853232,-0.7361345594896793,4.6288009759883595,1.8452093085948604,-0.19758205277904395,0.2348522545541094,0.3143271458105005,5.056232368192139,0.0,0.0,gps_position_velocity,0.0,0.0
1.0,80.0,3.0597700485132795,0.0,1.0042157562950862,-3.0662128877166452,,,,,,3.0662128877166452,0.0,0.0,barometer_altitude,0.0,0.0
1.0,80.0,1.6326477543085534,0.2,0.6149381415040123,-1.2802895797122034,,,,,,1.2802895797122034,0.0,0.0,barometer_altitude,0.0,0.2
1.0,80.0,1.4551060499341326,0.4,0.918097157510815,1.3942445893246855,,,,,,1.3942445893246855,0.0,0.0,barometer_altitude,0.0,0.4
1.0,80.0,1.3875243955693064,0.6,0.30798927436960744,-0.7700313804228358,,,,,,0.7700313804228358,0.0,0.0,barometer_altitude,0.0,0.6
1.0,80.0,1.3560188147306504,0.8,0.2320650172419808,-0.6532366668142799,,,,,,0.6532366668142799,0.0,0.0,barometer_altitude,0.0,0.8
1.0,80.0,6.989721827864751,1.0,2.2915876399320942,-3.664041721920441,-2.7276601857686558,2.991120368615995,-0.03127011676754776,-0.007148203270072706,-0.34432839341912735,5.4709892933616615,0.0,0.0,gps_position_velocity,0.0,1.0
1.0,80.0,1.319777026556298,1.0,0.18764985298132444,-0.5717085385915652,,,,,,0.5717085385915652,0.0,0.0,barometer_altitude,0.0,1.0
1.0,80.0,1.3087855046880887,1.2,0.22167290928404115,-0.6162043884392432,,,,,,0.6162043884392432,0.0,0.0,barometer_altitude,0.0,1.2
1.0,80.0,1.3040504309873548,1.4,0.12508782511016214,-0.46121339051858,,,,,,0.46121339051858,0.0,0.0,barometer_altitude,0.0,1.4
1.0,80.0,1.3044548781168752,1.6,0.006849913065260008,-0.1079621665009114,,,,,,0.1079621665009114,0.0,0.0,barometer_altitude,0.0,1.6
1.0,80.0,1.3093078409934602,1.8,0.5161640077988078,0.9406663914716802,,,,,,0.9406663914716802,0.0,0.0,barometer_altitude,0.0,1.8
1.0,80.0,6.486016871757917,2.0,2.4865094572905777,-1.8751476922078822,-1.2885258001668762,-3.2326298396413478,-0.5364419529931794,0.012434686360526914,0.48391722327153713,4.018516362385841,0.0,0.0,gps_position_velocity,0.0,2.0
1.0,80.0,1.282980507130227,2.0,0.18470899398143842,-0.5513965944396375,,,,,,0.5513965944396375,0.0,0.0,barometer_altitude,0.0,2.0
1.0,80.0,1.2852085449179647,2.2,0.2892539748464887,-0.6912151878273676,,,,,,0.6912151878273676,0.0,0.0,barometer_altitude,0.0,2.2
1.0,80.0,1.289824931973866,2.4,0.1419176208153667,-0.4859022704567906,,,,,,0.4859022704567906,0.0,0.0,barometer_altitude,0.0,2.4
1.0,80.0,1.2966317899054913,2.6,0.6059106234532444,-1.0093015696366763,,,,,,1.0093015696366763,0.0,0.0,barometer_altitude,0.0,2.6
1.0,80.0,1.30523080875343,2.8,0.7664714666041724,-1.1427081171368911,,,,,,1.1427081171368911,0.0,0.0,barometer_altitude,0.0,2.8
1.0,80.0,6.274317697189757,3.0,1.561164677735744,2.112252488838891,3.26528968358587,1.4224194066328266,0.3896804371986242,0.13854059822052056,0.061324244885992585,4.161947773123244,0.0,0.0,gps_position_velocity,0.0,3.0
1.0,80.0,1.2774810897398063,3.0,0.22136337163877734,-0.6010455147367679,,,,,,0.6010455147367679,0.0,0.0,barometer_altitude,0.0,3.0
1.0,80.0,1.2821210313071607,3.2,0.029080188281852534,0.2186389994487996,,,,,,0.2186389994487996,0.0,0.0,barometer_altitude,0.0,3.2
1.0,80.0,1.2879617913958314,3.4,0.18237229706309047,-0.5500249796013748,,,,,,0.5500249796013748,0.0,0.0,barometer_altitude,0.0,3.4
1.0,80.0,1.2947554531530547,3.6,0.008022286223896518,0.11596764164262652,,,,,,0.11596764164262652,0.0,0.0,barometer_altitude,0.0,3.6
1.0,80.0,1.3021483872057598,3.8,0.45108879057194345,0.8745637957872674,,,,,,0.8745637957872674,0.0,0.0,barometer_altitude,0.0,3.8
1.0,80.0,6.152107706167155,4.0,0.623757383236917,-0.05111264947227312,-1.4815874027486604,0.4031758207403442,-0.32620039660237055,-0.1902103715160819,-0.18818555592883096,1.5931933231674429,0.0,0.0,gps_position_velocity,0.0,4.0
