bax,bax_error,bay,bay_error,baz,baz_error,covariance_trace,filter,nees_position,pos_error_m,profile,px,py,pz,sigma_pos_m,sigma_velocity_mps,time_s,velocity_error_mps,vx,vy,vz,yaw_error_rad,yaw_est_rad
0.0,-0.035,0.0,0.025,0.0,-0.02,41.97736201950723,ekf,15.101410594437777,6.33956655317817,aggressive,6.06666532460864,1.8374594803597617,120.09704936580181,2.351034244647925,6.0,0.0,0.5787918451395112,18.5,1.25,0.35,-0.01567620736653641,0.06746502452190475
0.0,-0.035020710582094224,0.0,0.024976255978665023,0.0,-0.019976693477099974,42.068535790132216,ekf,15.029858566901268,6.360021173302527,aggressive,6.991861777127764,1.9002625662896067,120.11449868100784,2.370097625126914,6.000097749203756,0.05,0.582726801646313,18.507858100764974,1.262123437193796,0.34797260824165105,-0.015990270499958825,0.06808850635378913
0.0,-0.03498235722168121,0.0,0.024941346661422194,0.0,-0.020155300019536016,42.341969524601055,ekf,14.630471431608065,6.380577476536553,aggressive,7.917458074789913,1.9637502471294102,120.13181710133809,2.4263910339241077,6.000382987784509,0.1,0.5849879013530035,18.515993805721003,1.277383796398346,0.34476420496754107,-0.01613535649073805,0.06887899544704028
0.0,-0.035095630697106334,0.0,0.02502173050982493,0.0,-0.02040512711988954,42.797688775601976,ekf,13.96578319983312,6.401283189451103,aggressive,8.843509230271176,2.0279434576148754,120.14899975441554,2.5174232188158654,6.000855689022087,0.15,0.5899271681297068,18.526052413529523,1.290344623020258,0.34254191813077184,-0.016409878158310853,0.06953797227176986
7.614513225940128e-18,-0.0351453454063417,-2.20979045743039e-18,0.025047769715059905,0.0033846552897105727,-0.016968209011384416,36.30478078911899,ekf,15.620252661154034,6.45142372843143,aggressive,9.770004806871915,2.092863840486324,119.41213683674415,2.5406041754599262,5.422187879286519,0.2,2.622879678063788,18.533770650500042,1.3064706918376603,-2.3666991070306285,-0.016504217633432017,0.07037494854733714
7.614513225940128e-18,-0.035168754275253185,-2.20979045743039e-18,0.024858526807235985,0.0033846552897105727,-0.016969813120846205,36.923601611316066,ekf,14.671634953636762,6.485765217202142,aggressive,10.696892972276663,2.1585625473782906,119.2937334082252,2.65784582620386,5.423049633137599,0.25,2.6246490337142645,18.541755965689834,1.3214775838410064,-2.369438033728066,-0.01665814102134755,0.07115005260635196
7.614513225940128e-18,-0.0351416979027008,-2.20979045743039e-18,0.02480939303410822,0.0033846552897105727,-0.017068097742396007,37.691777738570146,ekf,13.567975629442074,6.522673254146013,aggressive,11.62428415268269,2.224993133431477,119.17521875079007,2.7965558552020786,5.424118656319401,0.3,2.626404234492243,18.553891250551295,1.3357458582864616,-2.3711482636767025,-0.01686605994449719,0.07186876787883018
7.614513225940128e-18,-0.03484582736297383,-2.20979045743039e-18,0.02482000936870977,0.0033846552897105727,-0.016652556139955744,38.609396020126546,ekf,12.456095469100145,6.56210211129718,aggressive,12.55217519995682,2.29219178017806,119.05661798220471,2.953725964203431,5.425394826327769,0.35,2.6272294134543137,18.561750640413837,1.3522000115768447,-2.372882479737111,-0.016938690833941283,0.07272027362727536
-3.6875659034560215e-16,-0.03504635378170748,1.6440534271945185e-17,0.024981121969472702,-0.021418659414309045,-0.04134932775888614,35.866968220182656,ekf,12.405145896569202,6.541773446828016,aggressive,13.480485119598258,2.3600907790677303,120.77123600878043,3.0548518562234626,5.107341731899248,0.4,2.5580047572858664,18.57064614524373,1.363759944009927,2.6785477306044374,-0.01727576412970455,0.07330473577249169
-3.6875659034560215e-16,-0.03477832853701587,1.6440534271945185e-17,0.024792563936148593,-0.021418659414309045,-0.04150959559576692,36.95153869676423,ekf,11.736188745391626,6.577192223103856,aggressive,14.409210313199463,2.4287122227943603,120.90518740344525,3.2249027539282475,5.108975640640608,0.45,2.559643212881052,18.57836159880448,1.3810978050552711,2.6795080559886126,-0.017296765896923638,0.07420256530321757
