accepted,nis,residual_norm,source,time_s
1.0,0.11536021542680207,2.215488641061706,gps_range_bearing,0.0
1.0,0.03210104288388667,0.4087025215961688,baro,0.0
1.0,0.1783289933361603,0.37731849570631937,baro,0.2
1.0,0.7816974884173072,0.768674188202084,baro,0.4
1.0,0.44864537371022073,0.51524177012584,baro,0.6
1.0,0.005285770647455142,0.050496377952654825,baro,0.8
1.0,12.897177149725739,15.647519461664865,gps_range_bearing,1.0
1.0,0.61034679115116,0.5002622888048336,baro,1.0
1.0,0.09074999395110919,0.18410608883186796,baro,1.2
1.0,0.018374999466846075,0.07999059747814385,baro,1.4
1.0,0.02648014640335941,0.09358251263628858,baro,1.6
1.0,0.21294710581334667,0.26054305168791814,baro,1.8
1.0,30.403857402387406,16.387215396036243,gps_range_bearing,2.0
1.0,0.2185068892569608,0.259869624393545,baro,2.0
1.0,0.8271061581431438,0.5022327243450633,baro,2.2
1.0,0.028654949372182305,0.0931525680850882,baro,2.4
1.0,0.036673141362700036,0.10523909158915501,baro,2.6
1.0,2.601953334598775,0.8862683660172479,baro,2.8
1.0,41.42197670545656,2.0472852246589257,gps_range_bearing,3.0
1.0,5.315961556574307,1.2636320216206656,baro,3.0
1.0,0.7765958010946037,0.4832681824225631,baro,3.2
1.0,0.14931705134553927,0.21182317481877533,baro,3.4
1.0,0.9298427993334706,0.5278056421682749,baro,3.6
1.0,8.646964929313171,1.6054876086409422,baro,3.8
1.0,10.08070943894807,4.691710317942482,gps_range_bearing,4.0
1.0,1.716055271459616,0.7111522576821017,baro,4.0
1.0,6.1958470037963,1.3469272386937234,baro,4.2
1.0,0.025941380094793146,0.08681465108152508,baro,4.4
1.0,0.9375964348660502,0.5196550188173745,baro,4.6
1.0,0.01962055898327529,0.07482785579600204,baro,4.8
1.0,1.656717123233399,2.1007678234544147,gps_range_bearing,5.0
1.0,0.07380132149882683,0.14418169478160792,baro,5.0
1.0,9.122431806617074,1.5963215178100114,baro,5.2
1.0,3.763929314452242,1.021015407832735,baro,5.4
1.0,1.7845148797801684,0.7000316714599251,baro,5.6
1.0,1.052111286550375,0.5352559891690163,baro,5.8
1.0,0.35665854310295825,1.6997708695045315,gps_range_bearing,6.0
1.0,0.0723278670320283,0.1395789287238074,baro,6.0
1.0,0.08439199431426603,0.1502278272647004,baro,6.2
1.0,6.967857364192665,1.3602055720916866,baro,6.4
1.0,0.0004202703047848075,0.010527147234512313,baro,6.6
1.0,0.26921802739010187,0.26554308670534965,baro,6.8
1.0,2.694426499272988,3.607771269450768,gps_range_bearing,7.0
1.0,2.2654157725250514,0.7670131383227812,baro,7.0
1.0,0.0040032888275884915,0.03215022662767808,baro,7.2
1.0,0.5305334144724401,0.36906962497043594,baro,7.4
1.0,1.9664513792077978,0.708606386784453,baro,7.6
1.0,0.9498895875659009,0.4911906948109248,baro,7.8
1.0,5.1227865767216025,0.4233591737537388,gps_range_bearing,8.0
1.0,0.001208889118285779,0.01746438754888402,baro,8.0
1.0,3.0478101231524852,0.874903657067506,baro,8.2
1.0,5.153697257480417,1.135161076167492,baro,8.4
1.0,0.8949040532038782,0.47200465092805644,baro,8.6
1.0,0.7113332720817799,0.4199372820368694,baro,8.8
1.0,1.3978870839775215,4.007430006338084,gps_range_bearing,9.0
1.0,4.712622441637121,1.0780128655526084,baro,9.0
1.0,0.08947518554518004,0.14826863486928232,baro,9.2
1.0,0.10797954135359769,0.16259028352450855,baro,9.4
1.0,0.7557638942158443,0.42940264292484187,baro,9.6
1.0,0.007641416809623722,0.04310515175427554,baro,9.8
1.0,4.370421146529612,1.18565789969429,gps_range_bearing,10.0
1.0,0.5574056749101861,0.3673628576105159,baro,10.0
1.0,0.8240419241487249,0.44600726332343754,baro,10.2
1.0,1.9041561369080349,0.677005999549209,baro,10.4
1.0,1.5944372372618718,0.6186371696302615,baro,10.6
1.0,0.1872062424407098,0.21169038983236987,baro,10.8
1.0,3.573674203812238,4.618353622584873,gps_range_bearing,11.0
1.0,1.6061619276991108,0.618973511253472,baro,11.0
1.0,0.9809666503870563,0.4831483181037868,baro,11.2
1.0,7.173015594276075,1.3049478248764501,baro,11.4
1.0,0.3792252555685336,0.2997045329229593,baro,11.6
1.0,0.229484076275133,0.23288271487851375,baro,11.8
1.0,3.3685167525322637,5.531624469837728,gps_range_bearing,12.0
1.0,4.749696822504086,1.0579411209937746,baro,12.0
1.0,7.332421068863261,1.3131721961337206,baro,12.2
1.0,2.980065367405853,0.8363552270506034,baro,12.4
1.0,2.943297885129198,0.8303969379202272,baro,12.6
1.0,0.32425776537028045,0.2753693934360797,baro,12.8
1.0,2.2055045989860242,0.8221471564911983,gps_range_bearing,13.0
1.0,0.10099815282937508,0.15349650394213654,baro,13.0
1.0,1.9201507618589428,0.6687351298787121,baro,13.2
1.0,0.11971380712186865,0.16684448528098983,baro,13.4
1.0,0.018739895660421575,0.06596072285523746,baro,13.6
1.0,0.010940027695259504,0.05035958259497875,baro,13.8
1.0,1.2719701123318194,3.5662113720124977,gps_range_bearing,14.0
1.0,0.024770066147999932,0.0756991863956955,baro,14.0
1.0,0.06972815981158875,0.12692232346515198,baro,14.2
1.0,18.17859355233484,2.0479879220033297,baro,14.4
1.0,2.6531995081414395,0.781902838587655,baro,14.6
1.0,2.8103778070131993,0.8042260707053401,baro,14.8
1.0,1.079014733604135,3.1308701377887007,gps_range_bearing,15.0
1.0,0.9596655206090315,0.46954635171422865,baro,15.0
1.0,0.06577646406260139,0.12286016268541289,baro,15.2
1.0,0.0009352175284416291,0.014641827333264246,baro,15.4
1.0,1.1988641425604374,0.5239538778594124,baro,15.6
1.0,1.1561822023281638,0.5142761603985946,baro,15.8
1.0,2.613659324531677,3.8892228714995656,gps_range_bearing,16.0
1.0,8.627953097749911,1.4038344427077334,baro,16.0
1.0,1.8887364276643088,0.6565194898386153,baro,16.2
1.0,0.35076578877538767,0.28279734114389043,baro,16.4
1.0,0.7170970030331222,0.4041711820667615,baro,16.6
1.0,1.0538041185192288,0.4897461253524398,baro,16.8
1.0,0.8446411561678216,2.3043272516949496,gps_range_bearing,17.0
1.0,6.071746809604592,1.174824792217322,baro,17.0
1.0,20.247897878735937,2.1445788116486426,baro,17.2
1.0,0.41546934933384516,0.30708687445391547,baro,17.4
1.0,7.3747815637618865,1.2933321835758704,baro,17.6
1.0,1.5007746527280155,0.5832316275745768,baro,17.8
1.0,1.5099820639235628,3.4586229145308844,gps_range_bearing,18.0
1.0,1.6871677891826957,0.6180538898045711,baro,18.0
1.0,0.07228070604806658,0.12788638598723878,baro,18.2
1.0,5.071385702891092,1.070891710652944,baro,18.4
1.0,0.010735197162395922,0.04925605355327889,baro,18.6
1.0,1.9987764241066195,0.6719119414794363,baro,18.8
1.0,1.826955461878732,3.03558549575768,gps_range_bearing,19.0
1.0,0.6571506930183528,0.3850869715946317,baro,19.0
1.0,2.959506503132304,0.8170097690502587,baro,19.2
1.0,1.0586103773159097,0.4885167574351499,baro,19.4
1.0,2.196982180355893,0.7035922088722941,baro,19.6
1.0,0.004615124969816947,0.03224025344303527,baro,19.8
1.0,4.753059228374983,4.626177608617458,gps_range_bearing,20.0
1.0,6.366921852628171,1.1970005361070264,baro,20.0
1.0,0.006112100088013111,0.03707979276026663,baro,20.2
1.0,0.06683625848237479,0.12259212168146405,baro,20.4
1.0,3.797874703310808,0.9239388139902331,baro,20.6
1.0,0.06900987440859856,0.12452223544005392,baro,20.8
1.0,1.7613170466197352,3.4593472750469796,gps_range_bearing,21.0
1.0,0.02246697755882308,0.071024580560902,baro,21.0
1.0,3.132972749558209,0.8385806198776038,baro,21.2
1.0,0.7486301717646783,0.40985643579682574,baro,21.4
1.0,3.7743461597923535,0.9201359341725635,baro,21.6
1.0,4.677693416105412,1.024192299514226,baro,21.8
1.0,2.343271593632036,2.724395315917712,gps_range_bearing,22.0
1.0,6.3174814769779815,1.1898740209876735,baro,22.0
1.0,0.04011794837856863,0.09480759632192814,baro,22.2
1.0,1.0333106569349182,0.48109958795710384,baro,22.4
1.0,2.419216636469722,0.7360437960145134,baro,22.6
1.0,2.999447886378797,0.8194730938847812,baro,22.8
1.0,3.3613291586609773,4.921887415196381,gps_range_bearing,23.0
1.0,0.018680737388832136,0.06465311128636131,baro,23.0
1.0,0.55427098826245,0.3521358908740808,baro,23.2
1.0,2.9445880882381954,0.8115566981519748,baro,23.4
1.0,4.9743418706824585,1.0547083425185662,baro,23.6
1.0,3.703510222796653,0.9099760135080857,baro,23.8
1.0,1.0402950426586066,2.9864365389468164,gps_range_bearing,24.0
1.0,4.11343964824301,0.95877429195275,baro,24.0
1.0,0.0035511377311182595,0.028168529125579767,baro,24.2
1.0,0.032157208511501695,0.08475911646119982,baro,24.4
1.0,0.7618053232976054,0.412511786964771,baro,24.6
1.0,0.010697070728551004,0.048878087928514447,baro,24.8
1.0,1.1666929104604598,2.603365383702444,gps_range_bearing,25.0
1.0,0.8933690037407356,0.446578516947568,baro,25.0
1.0,0.8461146739912953,0.434581805939402,baro,25.2
1.0,0.6624999397320432,0.3845247972367787,baro,25.4
1.0,0.8167901348211444,0.42693442323857766,baro,25.6
1.0,4.5090119596333675,1.0030467099084035,baro,25.8
1.0,3.856537209935348,4.459754736191064,gps_range_bearing,26.0
1.0,0.44302413523534445,0.3143423144462929,baro,26.0
1.0,2.7161908253166707,0.7783057503056767,baro,26.2
1.0,0.009308998088793569,0.0455619446169635,baro,26.4
1.0,1.9692521873374733,0.6626464906218388,baro,26.6
1.0,5.122041952310477,1.068644029122808,baro,26.8
1.0,1.2025415793538299,1.078278159145464,gps_range_bearing,27.0
1.0,7.542592676905329,1.296543368514051,baro,27.0
1.0,1.7350451106504412,0.621825034139107,baro,27.2
1.0,1.2572959354605808,0.5293186755664152,baro,27.4
1.0,1.6334058081813465,0.6032964126268325,baro,27.6
1.0,1.262346867543789,0.5303443115778776,baro,27.8
1.0,8.72901311015609,1.3945551011667163,baro,28.0
1.0,3.3471466729111166,0.8635246601110254,baro,28.2
1.0,1.6721625328229795e-05,0.0019300148537269024,baro,28.4
1.0,2.7064671733791426,0.776437738894117,baro,28.6
1.0,0.8010735664049607,0.4224012134371691,baro,28.8
1.0,0.4144335770833545,0.3038085716582657,baro,29.0
1.0,5.943394615456179,1.150464904194294,baro,29.2
1.0,1.5520626188969768,0.5878874930154723,baro,29.4
1.0,5.7434999523143215,1.1308667402974635,baro,29.6
1.0,0.16297343451588536,0.19048688958964988,baro,29.8
1.0,1.6273104057583,0.6019016240503703,baro,30.0
1.0,0.029569734702959875,0.08113304223925866,baro,30.2
1.0,2.482311083328622,0.7433374392481937,baro,30.4
1.0,1.1124333286209258,0.4975983183457089,baro,30.6
1.0,9.00905811636547,1.416008215499886,baro,30.8
1.0,0.045694070509205535,0.10084174626116749,baro,31.0
