baro_valid,baro_z,gps_valid,gps_x,gps_y,gps_z,imu_ax,imu_ay,imu_az,time_s
1.0,120.09262053883255,1.0,1.7927288130846166,0.05385403936869501,120.62653433781452,0.12695495567390422,0.29996665693526803,-0.018317542906582152,0.0
0.0,nan,0.0,nan,nan,nan,0.16677579963119807,0.31828686024451786,-0.01970834458611581,0.05
0.0,nan,0.0,nan,nan,nan,0.08235534495090724,0.3013250217015994,0.007792985224419659,0.1
0.0,nan,0.0,nan,nan,nan,0.22497576325467478,0.36570475733685576,-0.021729729545774713,0.15
1.0,119.73124031184709,0.0,nan,nan,nan,0.18482384697737392,0.3761461099306067,-0.009773902263505312,0.2
0.0,nan,0.0,nan,nan,nan,0.1292057763681332,0.2733642552500835,-0.02871877978339254,0.25
0.0,nan,0.0,nan,nan,nan,0.2394554945035064,0.3571104196489725,-0.02453671093463838,0.3
0.0,nan,0.0,nan,nan,nan,0.2614213015159379,0.35561323459250466,-0.06399050071824527,0.35
1.0,120.40558328195308,0.0,nan,nan,nan,0.16037739745619461,0.35312972198217774,0.08010020263557384,0.4
0.0,nan,0.0,nan,nan,nan,0.2137395927100484,0.31649022851654945,-0.007215672722131663,0.45
0.0,nan,0.0,nan,nan,nan,0.18379451946541628,0.3215078126514397,0.0014382114422828492,0.5
0.0,nan,0.0,nan,nan,nan,0.21871893949234714,0.3201376132567165,0.07537673959357041,0.55
1.0,119.80068162182187,0.0,nan,nan,nan,0.22090357665977456,0.3775871645050772,0.017447048102592067,0.6
0.0,nan,0.0,nan,nan,nan,0.1943799522314657,0.2756325440146314,0.12207981530091785,0.65
0.0,nan,0.0,nan,nan,nan,0.29551727861607824,0.34646596869335755,0.015281633557438402,0.7
0.0,nan,0.0,nan,nan,nan,0.24295487112355793,0.35041529167018076,0.08398125148918822,0.75
1.0,120.00612780876656,0.0,nan,nan,nan,0.19432572070334359,0.291922289505322,-0.009624452840783154,0.8
0.0,nan,0.0,nan,nan,nan,0.2788967670574304,0.23629117059114957,0.029040129736230182,0.85
0.0,nan,0.0,nan,nan,nan,0.12393157501344022,0.2886559844055457,0.039601327191257134,0.9
0.0,nan,0.0,nan,nan,nan,0.21523711854251903,0.3028574958604247,0.16735166058169612,0.95
1.0,120.35873499047712,1.0,16.850014750391882,1.0081722878429908,116.46907385650589,0.30118032973844633,0.37760490173477174,-0.0053072519404379764,1.0
0.0,nan,0.0,nan,nan,nan,0.3441041338878402,0.3044382464603658,0.060676703862595376,1.05
0.0,nan,0.0,nan,nan,nan,0.18560294585516646,0.37310762606277037,0.09296205027899901,1.1
