bax,bay,baz,pos_error_m,px,py,pz,sigma_pos_m,time_s,vx,vy,vz
-2.2363689925448057e-06,-5.279287963939444e-06,-4.33760445905659e-07,1.4392955537825816,0.559810037098028,1.3215167784240536,120.10852565524485,2.2793902096440513,0.0,0.017529704564868864,0.04139503663085882,0.001252946772221486
-2.2363689925448057e-06,-5.279287963939444e-06,-4.33760445905659e-07,1.297570022792242,0.5608949948712717,1.3239843954300121,120.10856366769492,2.2980283995530604,0.05,0.025868606364878394,0.05730964360748291,0.0002675512309379907
-2.2363689925448057e-06,-5.279287963939444e-06,-4.33760445905659e-07,1.7096932825193187,0.5622913721661655,1.3272265404866233,120.1085867870302,2.3486437681474825,0.1,0.029986485430873382,0.07237615865696108,0.0006572221801812689
-2.2363689925448057e-06,-5.279287963939444e-06,-4.33760445905659e-07,2.4061469779616695,0.5640719189372387,1.3313024859652522,120.10859248651948,2.429242996728899,0.15,0.04123538541205675,0.09066166048820207,-0.00042924260908517155
-2.2363689925448057e-06,-5.279287963939444e-06,0.001134039239696379,3.212877522260376,0.5663647208120245,1.3363057582261855,119.82694625142202,2.44776079784479,0.2,0.050476689579375074,0.10946922994913061,-0.9473499699768455
-2.2363689925448057e-06,-5.279287963939444e-06,0.001134039239696379,4.058343089313139,0.5690500653069146,1.3421209316418146,119.7795414368994,2.552354281827079,0.25,0.05693709021623136,0.12313770667603298,-0.9488426109279999
-2.2363689925448057e-06,-5.279287963939444e-06,0.001134039239696379,4.924357454382858,0.5721962419813168,1.3487242115992875,119.73206721791527,2.676263607187483,0.3,0.06890997675985631,0.1409934916228798,-0.9501261484367167
-2.2363689925448057e-06,-5.279287963939444e-06,0.001134039239696379,5.801547284932026,0.5759685202416658,1.356218409322782,119.68447950481848,2.816950601059334,0.35,0.08198115365410284,0.15877441731690323,-0.9533823754346138
-2.2363689925448057e-06,-5.279287963939444e-06,-0.003954875831033891,6.672111394631619,0.5802680524666524,1.3645985489402148,120.19965241574988,2.9030894865252757,0.4,0.0900001353453622,0.17643116738041031,0.5797077770620459
-2.2363689925448057e-06,-5.279287963939444e-06,-0.003954875831033891,7.558880126547799,0.5850352365202692,1.373815726693991,120.22863372860687,3.0550414386786433,0.45,0.10068722679931426,0.19225594277063598,0.579544737217491
-2.2363689925448057e-06,-5.279287963939444e-06,-0.003954875831033891,8.448643513650605,0.5902993438050279,1.383830415197447,120.25761770682684,3.216956881480579,0.5,0.1098770645910347,0.20833159736760617,0.5798143915811569
-2.2363689925448057e-06,-5.279287963939444e-06,-0.003954875831033891,9.340529477322017,0.5960665985044064,1.394647173681508,120.28670759092518,3.3874195891983714,0.55,0.12081312338410169,0.2243387419948402,0.5837809723523871
-2.2363689925448057e-06,-5.279287963939444e-06,0.0020915874091743296,10.232881870373937,0.6023833869398973,1.4063361013359914,119.97700794752743,3.5291282646496365,0.6,0.13185841403554005,0.24321836418449225,-0.1140064634299387
