accepted,nis,residual_norm,source,time_s
1.0,0.10603646607247001,2.215488641061706,gps_range_bearing,0.0
1.0,0.018874982243668154,0.3681822755849993,baro,0.0
1.0,0.10259841179413705,0.39030179827622646,baro,0.2
1.0,0.2655970837181984,0.6327911067652252,baro,0.4
1.0,0.14332838325724945,0.4491389360823632,baro,0.6
1.0,0.0018340949221669213,0.04783288749752046,baro,0.8
1.0,10.520610286275877,15.761948391218151,gps_range_bearing,1.0
1.0,0.3200453124276594,0.5889617615260221,baro,1.0
1.0,0.011483894646757335,0.10752166617307068,baro,1.2
1.0,0.0010382717076250951,0.03132814257259042,baro,1.4
1.0,0.01758822015518001,0.1256896827870264,baro,1.6
1.0,0.09393941166621762,0.2846544946965537,baro,1.8
1.0,23.7198609120589,18.48958961994004,gps_range_bearing,2.0
1.0,0.10287244900922655,0.2918053395473095,baro,2.0
1.0,0.2682694554946153,0.4664327683537408,baro,2.2
1.0,0.009030595112815312,0.0849234978054767,baro,2.4
1.0,0.013505560375100811,0.10329448608266034,baro,2.6
1.0,1.0008270401742319,0.8860967207492223,baro,2.8
1.0,32.38063245990787,5.222093392953306,gps_range_bearing,3.0
1.0,1.8626238489672786,1.202395935848429,baro,3.0
1.0,0.3323014179576982,0.5078875152334916,baro,3.2
1.0,0.03064223590580467,0.15429619092346059,baro,3.4
1.0,0.30484556970247717,0.48691581482337654,baro,3.6
1.0,3.330779916308725,1.6099388606443483,baro,3.8
1.0,10.388690198670714,4.897207533292869,gps_range_bearing,4.0
1.0,0.4290685115331491,0.5758797845996355,baro,4.0
1.0,2.057583146877078,1.2614411453971428,baro,4.2
1.0,0.007109772156619577,0.07411546908863897,baro,4.4
1.0,0.3553500013710727,0.5233614578892798,baro,4.6
1.0,0.011008503942170537,0.09195461379309222,baro,4.8
1.0,2.3546944540522063,2.3872154390450304,gps_range_bearing,5.0
1.0,0.02544937481288544,0.13909507628808626,baro,5.0
1.0,3.354608864549913,1.5941021230434274,baro,5.2
1.0,1.2977779428136011,0.9892757694529877,baro,5.4
1.0,0.6353327653103295,0.6903922950251342,baro,5.6
1.0,0.3876824766438293,0.5377923890218312,baro,5.8
1.0,0.2918061884351542,2.2424415569063765,gps_range_bearing,6.0
1.0,0.022759199877061806,0.1296137408521929,baro,6.0
1.0,0.034082364198575764,0.15823176165648078,baro,6.2
1.0,2.566424626784477,1.3695522186563096,baro,6.4
1.0,0.0013029589642380576,0.030776902550130103,baro,6.6
1.0,0.08412873047296678,0.24663789059118812,baro,6.8
1.0,2.2278887691464258,3.3907207728089728,gps_range_bearing,7.0
1.0,0.7383893357200367,0.7273572272906534,baro,7.0
1.0,0.005583765127779838,0.06311018289031267,baro,7.2
1.0,0.16390735328987138,0.34115050579401895,baro,7.4
1.0,0.7584129657821285,0.7321595843521465,baro,7.6
1.0,0.3761529103551881,0.5144552019679054,baro,7.8
1.0,3.1484498561362786,0.38647833322312497,gps_range_bearing,8.0
1.0,0.0025230620315476768,0.041976842017888316,baro,8.0
1.0,1.0456337874452868,0.8529439234714147,baro,8.2
1.0,1.8020069186912921,1.117611687218627,baro,8.4
1.0,0.30410535221727586,0.45826000391915045,baro,8.6
1.0,0.2708963844337004,0.43171781015286115,baro,8.8
1.0,1.0595327520925122,4.090412045090986,gps_range_bearing,9.0
1.0,1.7270744969813152,1.0867805369424275,baro,9.0
1.0,0.0283432815917744,0.13901004651228277,baro,9.2
1.0,0.042808991006861176,0.1705791680910238,baro,9.4
1.0,0.28107181742057213,0.4364271755877098,baro,9.6
1.0,0.002034752032156713,0.03707783571938705,baro,9.8
1.0,3.350456260243219,0.8768309603859957,gps_range_bearing,10.0
1.0,0.19793009928667638,0.364792449910496,baro,10.0
1.0,0.2940013563070557,0.44404500376975875,baro,10.2
1.0,0.6885037556984976,0.6786907084163545,baro,10.4
1.0,0.5749927488861597,0.6194743709786508,baro,10.6
1.0,0.06746995443398848,0.21194836859389454,baro,10.8
1.0,3.0607696530682444,4.935687885622402,gps_range_bearing,11.0
1.0,0.5799452659840202,0.6201402598838257,baro,11.0
1.0,0.35260061039191065,0.48306482960227015,baro,11.2
1.0,2.5772672851815805,1.3047135753097052,baro,11.4
1.0,0.13432384727688326,0.29757034122869186,baro,11.6
1.0,0.08426906052412084,0.23546829095653266,baro,11.8
1.0,2.6247451095413443,5.8641116643783935,gps_range_bearing,12.0
1.0,1.6607343656124636,1.043565072179888,baro,12.0
1.0,2.5725685267465366,1.297796345907173,baro,12.2
1.0,1.0255516499138422,0.8187647213965761,baro,12.4
1.0,1.0083444838533526,0.8112358387653842,baro,12.6
1.0,0.0992453001724547,0.2543115574591468,baro,12.8
1.0,1.935051428181961,0.7174521093486697,gps_range_bearing,13.0
1.0,0.02830460021495405,0.135621755834336,baro,13.0
1.0,0.72669645125466,0.6867551228043851,baro,13.2
1.0,0.05125419799416981,0.18227104215358736,baro,13.4
1.0,0.009953105643775514,0.08027195519983366,baro,13.6
1.0,0.0021015073885883176,0.03686263695610137,baro,13.8
1.0,1.09949970815859,3.9212956411558815,gps_range_bearing,14.0
1.0,0.005031285845330568,0.05696985025980439,baro,14.0
1.0,0.03262777241164939,0.14500481776317997,baro,14.2
1.0,6.620910590480435,2.0645862991952697,baro,14.4
1.0,0.9356659021547229,0.7757523199362595,baro,14.6
1.0,0.9843827961116555,0.79531073183324,baro,14.8
1.0,0.8688054594051086,3.475484381058806,gps_range_bearing,15.0
1.0,0.3342983207513399,0.4630020792131404,baro,15.0
1.0,0.020441360259670596,0.11444645721888946,baro,15.2
1.0,0.0008474667287697886,0.02329388813578248,baro,15.4
1.0,0.44256219486796256,0.5321121073402821,baro,15.6
1.0,0.4211882367147493,0.5189099805944011,baro,15.8
1.0,1.9016718354479638,3.8711333585333767,gps_range_bearing,16.0
1.0,3.0115585237744456,1.386347606517063,baro,16.0
1.0,0.7269535097495662,0.6809283425680803,baro,16.2
1.0,0.10917233072267828,0.2638012478859366,baro,16.4
1.0,0.2818123797159966,0.42371546957019746,baro,16.6
1.0,0.4009338432989166,0.5052496442733627,baro,16.8
1.0,0.589733462791898,2.2928155670930916,gps_range_bearing,17.0
1.0,2.09683496134885,1.1545797468197065,baro,17.0
1.0,7.4184992487946335,2.171222076627828,baro,17.2
1.0,0.15780735467523513,0.31660253616374234,baro,17.4
1.0,2.6571240357110444,1.2988581169120437,baro,17.6
1.0,0.5473254099082704,0.5893650982716849,baro,17.8
1.0,1.1346963319896552,3.6991724519835607,gps_range_bearing,18.0
1.0,0.6237794955766174,0.628766035623471,baro,18.0
1.0,0.028588128923262103,0.1345852478083316,baro,18.2
1.0,1.7892467585103666,1.0645602890959935,baro,18.4
1.0,0.006708266848162229,0.0651734358776821,baro,18.6
1.0,0.7476136937468245,0.687914407704568,baro,18.8
1.0,1.4607908265560139,3.223783098354499,gps_range_bearing,19.0
1.0,0.23577819110956386,0.3860923841934607,baro,19.0
1.0,1.0600739742501655,0.8185778951692839,baro,19.2
1.0,0.3876717376928491,0.494966028580734,baro,19.4
1.0,0.7777996106625041,0.7010156389937094,baro,19.6
1.0,0.0027956334247988845,0.04202268937484632,baro,19.8
1.0,3.256325331938154,4.790066274144587,gps_range_bearing,20.0
1.0,2.183001341421016,1.1736524616163422,baro,20.0
1.0,1.1573745030691396e-05,0.0027022095883637576,baro,20.2
1.0,0.039051781801598934,0.15695329398417357,baro,20.4
1.0,1.4507934410182337,0.9565756452463035,baro,20.6
1.0,0.03432716996186523,0.14712987048181958,baro,20.8
1.0,1.3262745946073955,3.5980514633849685,gps_range_bearing,21.0
1.0,0.01648660768889627,0.10191452943237778,baro,21.0
1.0,1.194688769281121,0.8675226623482502,baro,21.2
1.0,0.291948861924211,0.42883255854835056,baro,21.4
1.0,1.3836248085165892,0.933517763708565,baro,21.6
1.0,1.6583923722772673,1.0219613430864598,baro,21.8
1.0,1.6037564607255255,2.9071731835822843,gps_range_bearing,22.0
1.0,2.1856647981443436,1.1726995318250033,baro,22.0
1.0,0.0242444922111861,0.12350796751216819,baro,22.2
1.0,0.40937195528170234,0.5075028738633165,baro,22.4
1.0,0.8155089769172553,0.7162797040361255,baro,22.6
