ax,ay,az,px,py,pz,time_s,vx,vy,vz
0.12,0.35,-0.04,0.0,0.0,120.0,0.0,18.0,1.5,0.2
0.12494952517579924,0.3499873563261257,-0.03690012412767557,0.90015,0.0754375,120.00995,0.05,18.006,1.5175,0.198
0.12989770142245088,0.34994942621800285,-0.03380099298561917,1.8006061869064698,0.15174998419540767,120.01980387484484,0.1,18.01224747625879,1.5349993678163063,0.19615499379361623
0.1348439298875742,0.34988621241606516,-0.03070335112518096,2.7013809328461877,0.2289373893689955,120.0295693732933,0.15,18.018742361329913,1.5524968391272065,0.19446494414433527
0.13978761186840716,0.3497977194874824,-0.027607942739918352,3.602486605825043,0.3069995890908759,120.03925424131161,0.2,18.025484557824292,1.5699911497480097,0.19292977658807622
0.14472814888425015,0.34968395382583006,-0.0245155114868071,4.503935568231093,0.3859363937276357,120.04886622021259,0.25,18.032473938417713,1.5874810357223839,0.1915493794510803
0.14966494274888323,0.3495449236506279,-0.02142680030758126,5.405740175338084,0.46574755045603716,120.05841304479578,0.3,18.039710345861927,1.6049652334136755,0.19032360387673994
0.15459739564294833,0.3493806390067454,-0.018342551250245056,6.307912773809616,0.5464327432812843,120.06790244148924,0.35,18.04719359299937,1.622442479596207,0.18925226386136088
0.15952491018628773,0.34919111176367673,-0.015263505290799374,7.210465700204139,0.6279915930598531,120.07734212649324,0.4,18.054923462781517,1.6399115115465441,0.18833513629884863
0.16444688951022968,0.34897635561468265,-0.012190402155225856,8.113411279480948,0.7104236575268849,120.08673980392656,0.45,18.062899708290832,1.657371067134728,0.18757196103430865
0.16936273732981297,0.34873638607580165,-0.009123980141771317,9.016761823507379,0.7937284313281395,120.09610316397558,0.5,18.071122052766345,1.674819884915462,0.18696244092654735
0.17427185801594114,0.34847122048472845,-0.006064975943575079,9.920529629567358,0.8779053460565074,120.10543988104673,0.55,18.079590189632835,1.6922567042192522,0.18650624191945878
0.179173656667458,0.3481808779995616,-0.0030141244716820684,10.82472697887152,0.9629537702930759,120.11475761192277,0.6,18.088303782533632,1.7096802652434886,0.18620299312228003
0.18406753918313568,0.3478653795974195,2.7841321516099138e-05,11.729366135069036,1.0488730096527497,120.1240639939233,0.65,18.097262465367006,1.7270893091434667,0.18605228689869593
0.18895291233356615,0.34752474807292427,0.003060190618369346,12.634459342761366,1.1356623068344198,120.13336664306989,0.7,18.106465842326163,1.7444825781233377,0.18605367896477173
0.19382918383294828,0.3471590080365555,0.00608219491154461,13.540018826018091,1.2233208416756778,120.14267315225639,0.75,18.11591348794284,1.7618588155269839,0.1862066884956902
0.1986957624107606,0.3467681859128718,0.009093128179046207,14.446056786895024,1.3118477312120727,120.15199108942481,0.8,18.125604947134487,1.7792167659288116,0.18651079824126743
0.20355205788331232,0.34635230993860144,0.012092267058639097,15.352585403954762,1.4012420297409043,120.1613279957471,0.85,18.135539735255026,1.7965551752244553,0.18696545465021974
