accepted,nis,residual_norm,source,time_s
1.0,0.10606147185569784,1.899668816780607,gps_xyz,0.0
1.0,0.016819891084494224,0.36818227627072986,baro,0.0
1.0,0.06024921817064762,0.42739708406855925,baro,0.2
1.0,0.0955906121603378,0.5289058071554678,baro,0.4
1.0,0.050217368740248736,0.3848260417850753,baro,0.6
1.0,0.0006271745158451865,0.04218157962718294,baro,0.8
1.0,10.379843337500768,15.814614188968502,gps_xyz,1.0
1.0,0.26066778997588985,0.810347391424699,baro,1.0
1.0,0.003683644332020547,0.09463381052304953,baro,1.2
1.0,0.005196515687994096,0.11005935751943241,baro,1.4
1.0,0.02296385803004665,0.2267366280129295,baro,1.6
1.0,0.060182577413723175,0.3605530519797071,baro,1.8
1.0,12.544957508904307,18.770761844457866,gps_xyz,2.0
1.0,0.06801127181695042,0.373463677915467,baro,2.0
1.0,0.0772534033460054,0.3944725483042504,baro,2.2
1.0,0.0008872014344786872,0.041938042087409144,baro,2.4
1.0,0.008835352517837335,0.1314570133652495,baro,2.6
1.0,0.3861403869778138,0.8643222560205857,baro,2.8
1.0,3.60596442718527,9.3862366257132,gps_xyz,3.0
1.0,0.7447670447058935,1.187758902555558,baro,3.0
1.0,0.155603771382567,0.5421310926022329,baro,3.2
1.0,0.005299936128157907,0.0999678173622982,baro,3.4
1.0,0.10528898292274394,0.44540975495799273,baro,3.6
1.0,1.3932641627601714,1.6202547100149047,baro,3.8
1.0,4.949514864528876,8.919149834719327,gps_xyz,4.0
1.0,0.0759895208780696,0.376359903193773,baro,4.0
1.0,0.6623484685240872,1.1129028219519483,baro,4.2
1.0,8.306865196138554e-05,0.012479427725764936,baro,4.4
1.0,0.1704738137097197,0.5658521799316532,baro,4.6
1.0,0.011258345779536274,0.14548686205174022,baro,4.8
1.0,1.365833196635743,4.632707795185476,gps_xyz,5.0
1.0,0.009113474938828787,0.13018622844103334,baro,5.0
1.0,1.352442781327412,1.5873694473566502,baro,5.2
1.0,0.473604942405851,0.9396182116581713,baro,5.4
1.0,0.24716848128031893,0.678614678990499,baro,5.6
1.0,0.16183929346363593,0.5487144280729979,baro,5.8
1.0,0.7422726829010942,3.6731756154784723,gps_xyz,6.0
1.0,0.005918492159236404,0.10429323014899694,baro,6.0
1.0,0.017766474608697225,0.18064416244108372,baro,6.2
1.0,1.0619964355587526,1.3955950666463224,baro,6.4
1.0,0.0036300417884000194,0.08150247384568843,baro,6.6
1.0,0.021482456032002748,0.19799452813161622,baro,6.8
