bax,bay,baz,pos_error_m,px,py,pz,sigma_pos_m,time_s,vx,vy,vz
-5.268391190949319e-06,-1.571758429102476e-07,-6.330781810905778e-07,1.3286478897887035,1.318573605899178,0.03970821350677273,120.15840491989239,3.797565712975409,0.0,0.03268996715800135,0.015784219920106785,0.0022495454140328344
-5.268391190949319e-06,-1.571758429102476e-07,-6.330781810905778e-07,0.44708177752740297,1.320416580592106,0.040895283274553516,120.15849276252371,3.811202655936838,0.05,0.0410290205591208,0.03169857079112483,0.0012641598386360982
-5.268391190949319e-06,-1.571758429102476e-07,-6.330781810905778e-07,0.509539218365412,1.3225709823867395,0.04285686828770656,120.15856571253852,3.8443373138820554,0.1,0.045147051226225705,0.046764829734996946,0.0016538407537661356
-5.268391190949319e-06,-1.571758429102476e-07,-6.330781810905778e-07,1.394406941706788,1.3251095612376083,0.04565224091759728,120.15862124320562,3.8964757832597328,0.15,0.05639610280851899,0.06505007546063188,0.0005673859303864544
-5.268391190949319e-06,-1.571758429102476e-07,0.00033830638294739626,2.291278990658347,1.328160402772245,0.04937492752451193,119.93423391521902,3.8600872828804498,0.2,0.06563755857694724,0.08385738881595436,-0.2850259570145299
-5.268391190949319e-06,-1.571758429102476e-07,0.00033830638294739626,3.1922642569102018,1.3316037945070414,0.05390950248084206,119.9199462960106,3.9362774556163673,0.25,0.07209811081491345,0.0975256094372507,-0.28647881132284686
-5.268391190949319e-06,-1.571758429102476e-07,0.00033830638294739626,4.093335925682596,1.3355080260014054,0.05923217117373561,119.90559126167281,4.028845875148177,0.3,0.08407114895964832,0.11538113827849146,-0.28772256218872616
-5.268391190949319e-06,-1.571758429102476e-07,0.00033830638294739626,4.994234173503283,1.3400383666617717,0.06544574482737062,119.8911247225545,4.13670066048887,0.35,0.09714247745500476,0.13316180786690884,-0.2909390025437858
-5.268391190949319e-06,-1.571758429102476e-07,-0.0008221683474985534,5.89200346397218,1.3450959688668311,0.07254524756966359,120.14532809161742,4.169101516126406,0.4,0.10516161074737404,0.15081830182480988,0.19956402676890406
-5.268391190949319e-06,-1.571758429102476e-07,-0.0008221683474985534,6.79241166957224,1.3506212304805765,0.08048177564301957,120.15529830107539,4.29023779515094,0.45,0.11584885380243601,0.1666428211094295,0.1992443515501724
-5.268391190949319e-06,-1.571758429102476e-07,-0.0008221683474985534,7.69275861360011,1.356643422905519,0.08921580166077515,120.16526334412764,4.422904678447886,0.5,0.12503884319526637,0.18271821960079362,0.19935737053966146
-5.268391190949319e-06,-1.571758429102476e-07,-0.0008221683474985534,8.593043065497396,1.3631687703251367,0.09875188485385554,120.17532646128954,4.5661074537986375,0.55,0.13597505358944328,0.19872510812242158,0.20316731593671492
-5.268391190949319e-06,-1.571758429102476e-07,0.0005424221993514844,9.493794608175964,1.3702436590609226,0.10916012441207777,119.9885925299572,4.6363609332220435,0.6,0.14702049584199156,0.21760447420646759,-0.13051030047246617
-5.268391190949319e-06,-1.571758429102476e-07,0.0005424221993514844,10.394053678390765,1.3778376653788005,0.12038488899888924,119.98221893667495,4.786359062610826,0.65,0.1567397568731244,0.2313861092659913,-0.12443343081738785
-5.268391190949319e-06,-1.571758429102476e-07,0.0005424221993514844,11.294165155612772,1.3860440564062158,0.1323872771195253,119.97601568914828,4.943994703563408,0.7,0.17151588422348785,0.2487094155594513,-0.1236964702494835
-5.268391190949319e-06,-1.571758429102476e-07,0.0005424221993514844,12.194071968830253,1.3949235507917837,0.1452607672085554,119.96993516417243,5.108572892947012,0.75,0.1836638911992253,0.26623018800175247,-0.11952452878499167
-5.268391190949319e-06,-1.571758429102476e-07,0.00033746866962177855,13.09363616745205,1.404349659088113,0.1589371796669945,119.98471724731299,5.21390083277411,0.8,0.19338044065395202,0.28082631033581074,-0.08955882919008883
-5.268391190949319e-06,-1.571758429102476e-07,0.00033746866962177855,13.99337734858691,1.4143673086651214,0.17327385934349376,119.98027518417982,5.382947116940493,0.85,0.2073255424263831,0.29264087672416034,-0.08812369613675841
-5.268391190949319e-06,-1.571758429102476e-07,0.00033746866962177855,14.893136847947398,1.4248885068406962,0.18826672335667852,119.97591807919613,5.557070917910093,0.9,0.21352238459661466,0.30707368380322975,-0.08616050321067664
-5.268391190949319e-06,-1.571758429102476e-07,0.00033746866962177855,15.792996066205056,1.4358336790541941,0.20399897961313535,119.97181882177549,5.735823012383098,0.95,0.22428450394330016,0.32221656645504315,-0.07780979361507293
-0.026185371017796312,-0.0013388410555462368,0.0013341259037497446,6.6502062161295665,11.498381278023258,0.7345238013676134,119.89552424711266,3.5160721303176543,1.0,6.289277067062298,0.650451915330821,-0.16938335635662188
-0.026185371017796312,-0.0013388410555462368,0.0013341259037497446,7.246655761593213,11.813307993257505,0.7674286184935494,119.88712925751727,3.630708064388403,1.05,6.30779154230758,0.6657407697066167,-0.1664162274586796
-0.026185371017796312,-0.0013388410555462368,0.0013341259037497446,7.843006215600494,12.128962305768974,0.8011837150627781,119.87892298104981,3.75104870106317,1.1,6.318380958151228,0.6844630930625325,-0.16183483123991713
-0.026185371017796312,-0.0013388410555462368,0.0013341259037497446,8.439398312242588,12.44519224144443,0.8358346759691088,119.87087918008409,3.8765825697386016,1.15,6.330816468866982,0.7015753431906928,-0.15991720738893142
-0.026185371017796312,-0.0013388410555462368,0.0005768822377567181,9.034237858199678,12.762127641353405,0.8712929747199668,119.90162120882287,3.956095315462408,1.2,6.34659952749209,0.7167566068436272,-0.11104548910814868
-0.026185371017796312,-0.0013388410555462368,0.0005768822377567181,9.630384979072776,13.079816607748409,0.9074865108193283,119.89613454924788,4.086713463213352,1.25,6.360959128308085,0.730984837130834,-0.10842089389150956
-0.026185371017796312,-0.0013388410555462368,0.0005768822377567181,10.226481714164423,13.398200069228306,0.9444506080473809,119.89072507352178,4.221251832514991,1.3,6.374379330887799,0.7475790519912724,-0.10795813515224106
-0.026185371017796312,-0.0013388410555462368,0.0005768822377567181,10.822468351616694,13.71733908197589,0.982220980755771,119.88540962238682,4.359368428325589,1.35,6.391181179015576,0.7632358563443321,-0.10465991024640914
-0.026185371017796312,-0.0013388410555462368,-0.0005525379972518463,11.416995567613487,14.037241683527826,1.0207779035939724,119.92231620316704,4.4627596097708615,1.4,6.404922883061859,0.7790410571837256,-0.060641771767706555
-0.026185371017796312,-0.0013388410555462368,-0.0005525379972518463,12.012679385317078,14.357947590064683,1.0601442447835046,119.91937108314039,4.604619111514588,1.45,6.423313378412398,0.7956125903975614,-0.057163029298221826
-0.026185371017796312,-0.0013388410555462368,-0.0005525379972518463,12.608116805215587,14.679572414638988,1.1002700892184505,119.91664930984729,4.7492224289830585,1.5,6.441679604559833,0.8094211870002732,-0.051707902425926516
-0.026185371017796312,-0.0013388410555462368,-0.0005525379972518463,13.203361437368633,15.002075222107758,1.1411197551528167,119.91416666113496,4.8963481012048495,1.55,6.458432694190932,0.8245654503743745,-0.04759804606745791
-0.026185371017796312,-0.0013388410555462368,-0.0034455796119995438,13.796309453566295,15.325485210920144,1.182643817020747,119.99286908708511,5.017480580515605,1.6,6.477966858304499,0.8363970243428346,0.03124269336966909
-0.026185371017796312,-0.0013388410555462368,-0.0034455796119995438,14.391178004047571,15.649707678944278,1.224855170510845,119.99442102725536,5.167419994515781,1.65,6.490931862660832,0.8520571152610886,0.030834913439858808
-0.026185371017796312,-0.0013388410555462368,-0.0034455796119995438,14.986066290662775,15.974636945706512,1.2677422263205673,119.99588785483819,5.319340840817648,1.7,6.506238807828547,0.8634251171278019,0.027838189873169848
-0.026185371017796312,-0.0013388410555462368,-0.0034455796119995438,15.580953313349267,16.30030622806279,1.3112558773423297,119.99743551245643,5.473100135761882,1.75,6.520532486422602,0.8771209237426971,0.034068114856772115
-0.026185371017796312,-0.0013388410555462368,-0.009042869571230468,16.17362160163237,16.626760883692313,1.3554173970899364,120.1194713160958,5.607205676692962,1.8,6.537653738758278,0.8893398661615697,0.13655507709132628
-0.026185371017796312,-0.0013388410555462368,-0.009042869571230468,16.7682838872736,16.954099112800353,1.4001849874893548,120.12633153972922,5.763137014226563,1.85,6.555875425563386,0.9013637498151663,0.13785386824578655
-0.026185371017796312,-0.0013388410555462368,-0.009042869571230468,17.36276823109894,17.28237291825861,1.4456732339299878,120.13338090083452,5.9205536841318365,1.9,6.575076792766861,0.91816610781015,0.1441205759661933
-0.026185371017796312,-0.0013388410555462368,-0.009042869571230468,17.95706077681923,17.611586463912428,1.4920419313446533,120.14072732151917,6.0793625140719545,1.95,6.593465033385933,0.9365817887764756,0.14973625141960453
-0.1074443342744126,-0.004887389583004435,-0.01329857076817149,5.8986106544919625,30.69034834313264,2.0960333859627323,120.22014065395798,3.5597069198814646,2.0,13.130815366279979,1.2386427957989543,0.2105149170650213
-0.1074443342744126,-0.004887389583004435,-0.01329857076817149,6.166340056263382,31.34741557747564,2.1583536884458616,120.23081727624786,3.653125916818592,2.05,13.151874007440057,1.2541693035262123,0.21654997452990035
-0.1074443342744126,-0.004887389583004435,-0.01329857076817149,6.433895041144161,32.005557046873015,2.2214963846141544,120.24176295323277,3.7484487312135384,2.1,13.173784768455027,1.2715385432055042,0.22127710486615834
-0.1074443342744126,-0.004887389583004435,-0.01329857076817149,6.701287390406229,32.664759614561355,2.2854454466057605,120.25303917335654,3.8455642832849533,2.15,13.194317939078433,1.286423936458743,0.22977170008468742
-0.1074443342744126,-0.004887389583004435,-0.0048659896123543905,6.972414750035309,33.325014275976834,2.350039461582522,120.15224019518111,3.9235623800190442,2.2,13.215868517540757,1.297336662611719,0.15698861633117048
-0.1074443342744126,-0.004887389583004435,-0.0048659896123543905,7.23955302050198,33.98640601446217,2.415188388995503,120.16021417950907,4.023013342048089,2.25,13.239801021872639,1.3086204339075054,0.1619707567872004
-0.1074443342744126,-0.004887389583004435,-0.0048659896123543905,7.506497079326287,34.64894583048746,2.4809346647798423,120.1684540285521,4.123974462208099,2.3,13.261791619139048,1.3212305974660623,0.16762320493408156
